%time,field.data
1580410102227879146,2.0
1580410103226302338,2.0
1580410104225506660,2.0
1580410105228440434,2.0
1580410106227278970,2.0
1580410107227511775,2.0
1580410108229505944,2.0
1580410109228906029,2.0
1580410110229115939,2.0
1580410111257376325,1.0
1580410112237458906,1.0
1580410113238730405,1.0
1580410114239600371,1.0
1580410115234943342,1.0
1580410116235908070,1.0
1580410117237194511,1.0
1580410118236934863,1.0
1580410119236505216,1.0
1580410120235221777,1.0
1580410121236495575,1.0
1580410122236286758,1.0
1580410123234919986,1.0
1580410124234488534,1.0
1580410125235871535,1.0
1580410126235998138,1.0
1580410127235822016,1.0
1580410128235106150,1.0
1580410129236607186,1.0
1580410130236304821,1.0
1580410131235802056,1.0
1580410132261431590,1.0
1580410133263249670,1.0
1580410134261825360,1.0
1580410135276797650,1.0
1580410136262032366,1.0
1580410137235833210,1.0
1580410138263100384,1.0
1580410139262812231,1.0
1580410140260759276,1.0
1580410141237214378,1.0
1580410142262575477,1.0
1580410143261585206,1.0
1580410144234279641,1.0
1580410145233635528,1.0
1580410146233562209,1.0
1580410147235572071,1.0
1580410148235422388,1.0
1580410149234918980,1.0
1580410150233394186,1.0
1580410151234993999,1.0
1580410152234497404,1.0
1580410153234975268,1.0
1580410154234470613,1.0
1580410155236438206,1.0
1580410156233762999,1.0
1580410157233379747,1.0
1580410158234081954,1.0
1580410159236424244,1.0
1580410160235995271,1.0
1580410161233736526,1.0
1580410162233912527,1.0
1580410163234822608,1.0
1580410164235394195,1.0
1580410165233987544,1.0
1580410166233464033,1.0
1580410167236875068,1.0
1580410168234768018,1.0
1580410169235885539,1.0
1580410170233227207,1.0
1580410171234316366,1.0
1580410172233357165,1.0
1580410173234271221,1.0
1580410174233203458,1.0
1580410175233581674,1.0
1580410176233459325,1.0
1580410177235032009,1.0
1580410178231491803,1.0
1580410179233425805,1.0
1580410180232301559,1.0
1580410181232307220,1.0
1580410182231326005,1.0
1580410183260120531,1.0
1580410184257493966,1.0
1580410185257959309,1.0
1580410186255724852,1.0
1580410187258466153,1.0
1580410188231567228,1.0
1580410189231905661,1.0
1580410190256225533,1.0
1580410191257656395,1.0
1580410192256558758,1.0
1580410193230346994,1.0
1580410194254819484,1.0
1580410195258702011,1.0
1580410196231641026,1.0
1580410197230455872,1.0
1580410198229362842,1.0
1580410199230827189,1.0
1580410200230525633,1.0
1580410201231588743,1.0
1580410202230126487,1.0
1580410203230985480,1.0
1580410204230498213,1.0
1580410205230844110,1.0
1580410206229204688,1.0
1580410207235620452,1.0
1580410208231432303,1.0
1580410209228882521,1.0
1580410210228194975,1.0
1580410211229953989,1.0
1580410212230095295,1.0
1580410213231509620,1.0
1580410214231642984,1.0
1580410215232204885,1.0
1580410216233910162,1.0
1580410217230715592,1.0
1580410218230688354,1.0
1580410219235304548,1.0
1580410220233119363,1.0
1580410221231139887,1.0
1580410222230934821,1.0
1580410223234650685,1.0
1580410224234588305,1.0
1580410225232366890,1.0
1580410226232954837,1.0
1580410227232879205,1.0
1580410228233960999,1.0
1580410229232203102,1.0
1580410230232701856,1.0
1580410231234703170,1.0
1580410232233284382,1.0
1580410233232745217,1.0
1580410234259669718,1.0
1580410235260210434,1.0
1580410236259986647,1.0
1580410237259277014,1.0
1580410238258572191,1.0
1580410239235318986,1.0
1580410240239877037,1.0
1580410241256901924,1.0
1580410242259096793,1.0
1580410243257899518,1.0
1580410244232786935,1.0
1580410245256794569,1.0
1580410246258161722,1.0
1580410247231691912,1.0
1580410248231405813,1.0
1580410249232021277,1.0
1580410250232029513,1.0
1580410251233015879,1.0
1580410252231914131,1.0
1580410253231619282,1.0
1580410254231610772,1.0
1580410255235316117,1.0
1580410256233997745,1.0
1580410257232512343,1.0
1580410258232965736,1.0
1580410259233368044,1.0
1580410260232270524,1.0
1580410261239015408,1.0
1580410262232302895,1.0
1580410263233126051,1.0
1580410264231960585,1.0
1580410265231902645,1.0
1580410266231538402,1.0
1580410267233627998,1.0
1580410268232126420,1.0
1580410269229702229,1.0
1580410270231732361,1.0
1580410271233185720,1.0
1580410272233067366,1.0
1580410273232657525,1.0
1580410274233059608,1.0
1580410275232816150,1.0
1580410276233174424,1.0
1580410277231929888,1.0
1580410278231909256,1.0
1580410279234420930,1.0
1580410280233622386,1.0
1580410281232125249,1.0
1580410282231884396,1.0
1580410283233117844,1.0
1580410284259278019,1.0
1580410285258877870,1.0
1580410286231280930,1.0
1580410287259529594,1.0
1580410288258529781,1.0
1580410289257015826,1.0
1580410290232107353,1.0
1580410291250821081,0.9
1580410292262539809,0.9
1580410293260545415,0.9
1580410294261186465,0.9
1580410295236439912,0.9
1580410296262735726,0.9
1580410297262756670,0.9
1580410298236622538,0.9
1580410299237021867,0.9
1580410300240625524,0.9
1580410301234859429,0.9
1580410302234071113,0.9
1580410303237953756,0.9
1580410304236551913,0.9
1580410305235149151,0.9
1580410306235023838,0.9
1580410307237177214,0.9
1580410308237273685,0.9
1580410309237162573,0.9
1580410310236454573,0.9
1580410311237442895,0.9
1580410312237384461,0.9
1580410313236097493,0.9
