%time,field.data
1580410102227812421,328180.830427
1580410103226529459,328191.429663
1580410104225816184,328203.896877
1580410105228509444,328216.780637
1580410106227237961,328230.758441
1580410107227155853,328245.285578
1580410108228037042,328259.936497
1580410109228870723,328275.127686
1580410110230395074,328291.133782
1580410111257811559,328296.703506
1580410112237635443,328293.880892
1580410113239113920,328289.48762
1580410114239377631,328288.880213
1580410115235092646,328288.96062
1580410116235878703,328288.871963
1580410117236925586,328283.00581
1580410118236414911,328283.009114
1580410119235632924,328283.277974
1580410120236255471,328283.967847
1580410121236651468,328284.520405
1580410122235738202,328284.537317
1580410123235408455,328284.700615
1580410124235786498,328284.589287
1580410125236462601,328284.615273
1580410126235400517,328284.641259
1580410127235313835,328284.534469
1580410128234693320,328284.290368
1580410129236576932,328289.096309
1580410130235539268,328293.764937
1580410131235641650,328298.305325
1580410132261951016,328302.571087
1580410133263611723,328306.566758
1580410134261764595,328310.704277
1580410135278560948,328304.522723
1580410136261528577,328292.041742
1580410137236222992,328283.978706
1580410138263060975,328280.869212
1580410139262600431,328278.830998
1580410140260300712,328277.191113
1580410141237659907,328275.555769
1580410142262353903,328274.053202
1580410143261613922,328273.736535
1580410144234570081,328273.296167
1580410145233710446,328272.32924
1580410146233528552,328271.344168
1580410147236256356,328270.496408
1580410148235699961,328266.763919
1580410149235104339,328263.031442
1580410150233987142,328259.298977
1580410151234858813,328255.291904
1580410152235324755,328251.550388
1580410153234798094,328247.817959
1580410154234971693,328244.222852
1580410155236616191,328240.632293
1580410156233451199,328237.174518
1580410157232994304,328233.446674
1580410158234673141,328229.714304
1580410159237206950,328226.252025
1580410160236286368,328222.386909
1580410161232683431,328218.915577
1580410162233912521,328215.448793
1580410163235587369,328211.977482
1580410164235961792,328208.506182
1580410165234367818,328205.437736
1580410166233651202,328202.085608
1580410167236747005,328199.136332
1580410168236213351,328195.655993
1580410169237306882,328191.241753
1580410170233505792,328186.150075
1580410171234883267,328185.71433
1580410172232856011,328185.521424
1580410173233649022,328186.395191
1580410174233572515,328187.66272
1580410175233987155,328189.067553
1580410176233978336,328190.733381
1580410177235122766,328192.39467
1580410178231644329,328194.055958
1580410179232476783,328194.508727
1580410180234130747,328196.032709
1580410181231607764,328197.689457
1580410182231861487,328198.943365
1580410183259488483,328199.93174
1580410184258069339,328201.341109
1580410185257706896,328202.608632
1580410186255885883,328203.597005
1580410187258807612,328204.315305
1580410188231515390,328205.166372
1580410189231192908,328206.021977
1580410190255820925,328206.877582
1580410191257365163,328207.733187
1580410192257091933,328208.451486
1580410193230771732,328209.311628
1580410194255348750,328210.299999
1580410195258902887,328211.013758
1580410196231750150,328211.864823
1580410197229993979,328212.58312
1580410198229285550,328213.443261
1580410199230852593,328214.170635
1580410200231825534,328215.039853
1580410201230915253,328216.18368
1580410202229963046,328217.176587
1580410203230999903,328217.775731
1580410204230498220,328218.640408
1580410205229553832,328219.093169
1580410206230889601,328219.838694
1580410207234184974,328220.00323
1580410208231411838,328220.739677
1580410209229076175,328221.723505
1580410210229038807,328222.171727
1580410211229762191,328222.610872
1580410212230947979,328223.187322
1580410213231435636,328223.763772
1580410214231641009,328224.335683
1580410215232697021,328225.044899
1580410216233668504,328225.758653
1580410217231243902,328226.476946
1580410218231507945,328227.057933
1580410219234603508,328227.913529
1580410220232837769,328228.910969
1580410221231962501,328229.766565
1580410222231966780,328230.617622
1580410223233570172,328231.473218
1580410224233718663,328232.319737
1580410225232381582,328233.308098
1580410226232732123,328234.159155
1580410227232927281,328235.147516
1580410228233432900,328236.00311
1580410229232463749,328236.849628
1580410230231258615,328237.696145
1580410231235252855,328238.679967
1580410232233332826,328239.810169
1580410233232862508,328240.940371
1580410234259704480,328242.070572
1580410235260865846,328243.058931
1580410236259526594,328243.905447
1580410237258701769,328245.040185
1580410238258536221,328246.321302
1580410239234989727,328247.597881
1580410240238754635,328248.732618
1580410241256871795,328249.858279
1580410242259399243,328250.700255
1580410243258090197,328251.825915
1580410244231232965,328252.809733
1580410245258142616,328254.081772
1580410246258362747,328255.207431
1580410247231421398,328256.461319
1580410248232045676,328257.56429
1580410249232550280,328258.804566
1580410250231290471,328260.058453
1580410251232851681,328261.175036
1580410252232596886,328262.291619
1580410253232011261,328263.545506
1580410254231930082,328264.662088
1580410255235399433,328265.920511
1580410256233997739,328267.046168
1580410257232768417,328268.029982
1580410258232458271,328269.151101
1580410259233390308,328270.139452
1580410260231936778,328271.269644
1580410261239005863,328272.262531
1580410262232285762,328273.388186
1580410263233849253,328274.376535
1580410264231881281,328275.511263
1580410265231852245,328276.641453
1580410266231845824,328277.767106
1580410267234058541,328278.897295
1580410268231562681,328280.022947
1580410269230073305,328281.006758
1580410270231488791,328282.13241
1580410271233733313,328283.11622
1580410272233913083,328284.095494
1580410273232621454,328285.065693
1580410274232607967,328286.044966
1580410275232985170,328287.028776
1580410276233744354,328288.154426
1580410277233044755,328289.412842
1580410278232532540,328290.538491
1580410279234458620,328291.801444
1580410280233115175,328292.927092
