%time,field.data
1580410102227632252,42.3345283333
1580410103226272292,42.3343866667
1580410104225647184,42.334225
1580410105228425368,42.334065
1580410106226626101,42.3339033333
1580410107226845483,42.3337416667
1580410108228054945,42.333575
1580410109229361817,42.333405
1580410110230131049,42.3332316667
1580410111257780612,42.33326
1580410112236790293,42.3333833333
1580410113238189527,42.333535
1580410114239321729,42.333665
1580410115234784156,42.333745
1580410116235850582,42.3338133333
1580410117236813871,42.3339283333
1580410118236711648,42.33398
1580410119235913654,42.3340283333
1580410120235008691,42.33408
1580410121236667465,42.3341316667
1580410122235738194,42.3341883333
1580410123235871252,42.3342483333
1580410124234944055,42.3343083333
1580410125235678628,42.3343683333
1580410126235523724,42.3344283333
1580410127236063617,42.33449
1580410128233914404,42.3345516667
1580410129236609445,42.3345516667
1580410130235990637,42.3345516667
1580410131235678437,42.334555
1580410132261431841,42.3345583333
1580410133263426554,42.3345633333
1580410134262027236,42.33457
1580410135276718689,42.33467
1580410136262026947,42.3348266667
1580410137236737260,42.3349416667
1580410138262821716,42.33501
1580410139262607895,42.3350683333
1580410140259918596,42.3351216667
1580410141237175991,42.3351766667
1580410142263195928,42.33523
1580410143261268371,42.335265
1580410144234279630,42.335305
1580410145233489262,42.3353533333
1580410146232662170,42.335395
1580410147235068848,42.3354366667
1580410148235234795,42.3355283333
1580410149234877847,42.33562
1580410150233306754,42.3357116667
1580410151235261229,42.3358033333
1580410152234515496,42.3358916667
1580410153234561723,42.3359833333
1580410154234480028,42.336075
1580410155235855015,42.3361683333
1580410156233451213,42.33626
1580410157233438064,42.3363533333
1580410158233711657,42.336445
1580410159236640728,42.336535
1580410160235981992,42.3366283333
1580410161232719627,42.336715
1580410162233924461,42.3368033333
1580410163235451665,42.33689
1580410164235797100,42.3369766667
1580410165235067074,42.33706
1580410166233815659,42.33714
1580410167236408894,42.3372166667
1580410168234752920,42.3373
1580410169236013075,42.3373933333
1580410170233232565,42.33749
1580410171234300385,42.3375316667
1580410172233857617,42.3375616667
1580410173233517880,42.33758
1580410174233536755,42.3375916667
1580410175233676716,42.3376033333
1580410176233497009,42.33761
1580410177235859960,42.337615
1580410178231374030,42.33762
1580410179233140435,42.337635
1580410180232334498,42.33764
1580410181231861498,42.3376433333
1580410182231305129,42.33765
1580410183259558500,42.33766
1580410184259293567,42.3376733333
1580410185257671946,42.337685
1580410186255603353,42.337695
1580410187259237693,42.3377066667
1580410188231868695,42.3377166667
1580410189231592787,42.3377283333
1580410190255636906,42.33774
1580410191258210439,42.3377516667
1580410192257381298,42.3377633333
1580410193230752767,42.3377766667
1580410194254655730,42.3377866667
1580410195259171699,42.3377966667
1580410196231020314,42.3378066667
1580410197230556378,42.3378183333
1580410198229379396,42.3378316667
1580410199231154001,42.3378466667
1580410200230614274,42.3378633333
1580410201230915082,42.33788
1580410202230894064,42.3378916667
1580410203230842996,42.33791
1580410204230517164,42.337925
1580410205229573624,42.33794
1580410206229234245,42.3379616667
1580410207234656337,42.3379716667
1580410208231004192,42.33799
1580410209228660153,42.3379983333
1580410210228262975,42.3380116667
1580410211229792437,42.3380216667
1580410212229989719,42.3380316667
1580410213231493379,42.3380416667
1580410214232361536,42.33805
1580410215232885503,42.3380583333
1580410216233910179,42.3380683333
1580410217230911237,42.33808
1580410218231150969,42.3380916667
1580410219234076565,42.3381033333
1580410220233081012,42.3381166667
1580410221231396139,42.3381283333
1580410222231526625,42.3381383333
1580410223233561333,42.33815
1580410224233190493,42.3381583333
1580410225232563106,42.3381683333
1580410226233780452,42.3381783333
1580410227232915067,42.3381883333
1580410228234093017,42.3382
1580410229231595468,42.3382083333
1580410230231463723,42.3382166667
1580410231233872735,42.338225
1580410232233643857,42.3382366667
1580410233232496972,42.3382483333
1580410234258980644,42.33826
1580410235261418133,42.33827
1580410236259537849,42.3382783333
1580410237258655610,42.3382916667
1580410238259558850,42.3383083333
1580410239235602287,42.3383233333
1580410240238754643,42.3383366667
1580410241257145662,42.3383466667
1580410242259066226,42.3383533333
1580410243258090190,42.3383633333
1580410244232589635,42.3383716667
1580410245256834717,42.338385
1580410246258529699,42.338395
1580410247232045066,42.3384016667
1580410248231367505,42.3384033333
1580410249232226655,42.338405
1580410250231373301,42.3384116667
1580410251233283916,42.3384183333
1580410252232654567,42.338425
1580410253231190840,42.3384316667
1580410254231112751,42.3384383333
1580410255236511939,42.3384466667
1580410256234658573,42.3384566667
1580410257232492297,42.338465
1580410258232454230,42.3384733333
1580410259233703158,42.3384833333
1580410260232486320,42.338495
1580410261240002847,42.3385066667
1580410262231465612,42.3385166667
1580410263232950647,42.3385266667
1580410264231834286,42.33854
1580410265230633183,42.3385516667
1580410266231495777,42.3385616667
1580410267233267492,42.3385733333
1580410268231296526,42.3385833333
1580410269229682460,42.3385916667
1580410270231905496,42.3386016667
1580410271233629945,42.33861
1580410272233947898,42.3386166667
1580410273233294949,42.33862
1580410274233885345,42.3386266667
1580410275233350972,42.338635
1580410276233913709,42.338645
1580410277232071249,42.3386533333
1580410278232516690,42.3386633333
1580410279235816199,42.3386733333
1580410280233216275,42.3386833333
1580410281232383699,42.3386933333
1580410282231948617,42.3387033333
1580410283233050542,42.3387116667
1580410284258536781,42.33872
1580410285257919602,42.3387283333
1580410286230878642,42.338735
1580410287259223297,42.3387433333
1580410288258196059,42.3387483333
1580410289256917023,42.3387566667
1580410290231790303,42.338765
1580410291250884886,42.338775
1580410292262518602,42.338785
1580410293260568958,42.3387933333
1580410294261148958,42.3388033333
1580410295236408202,42.3388133333
1580410296262165024,42.3388166667
1580410297263261666,42.3388266667
1580410298235498092,42.3388366667
1580410299236837295,42.338845
1580410300240428611,42.3388533333
1580410301234842894,42.338865
1580410302234097783,42.338875
1580410303238024167,42.338885
1580410304236599835,42.338895
