%time,field.data
1580410102228380972,-71.085585
1580410103226517768,-71.0854516667
1580410104225478355,-71.085295
1580410105228164120,-71.0851333333
1580410106226790548,-71.0849583333
1580410107227124165,-71.0847766667
1580410108227874407,-71.0845933333
1580410109229403039,-71.0844033333
1580410110229166389,-71.0842033333
1580410111257618298,-71.0841366667
1580410112237851198,-71.084175
1580410113238176411,-71.0842333333
1580410114239549936,-71.084245
1580410115234979019,-71.0842466667
1580410116236246972,-71.08425
1580410117236408571,-71.084325
1580410118235885173,-71.0843266667
1580410119236535836,-71.084325
1580410120235038186,-71.0843183333
1580410121236412631,-71.0843133333
1580410122235568578,-71.084315
1580410123235530515,-71.084315
1580410124234682412,-71.0843183333
1580410125235658727,-71.08432
1580410126236113080,-71.0843216667
1580410127235377747,-71.084325
1580410128233929019,-71.08433
1580410129236854541,-71.0842716667
1580410130235575023,-71.084215
1580410131235911390,-71.08416
1580410132261107603,-71.0841083333
1580410133263184836,-71.08406
1580410134263164245,-71.08401
1580410135278559697,-71.0840883333
1580410136262552561,-71.084245
1580410137236643821,-71.0843466667
1580410138262861476,-71.0843866667
1580410139262524695,-71.0844133333
1580410140260328625,-71.084435
1580410141237858294,-71.0844566667
1580410142262919064,-71.0844766667
1580410143260852958,-71.0844816667
1580410144234320294,-71.0844883333
1580410145233375783,-71.0845016667
1580410146232662161,-71.084515
1580410147235583075,-71.0845266667
1580410148235878289,-71.084575
1580410149235275618,-71.0846233333
1580410150233819581,-71.0846716667
1580410151233738527,-71.0847233333
1580410152234732438,-71.0847716667
1580410153234577438,-71.08482
1580410154234993212,-71.0848666667
1580410155236108012,-71.0849133333
1580410156233959734,-71.0849583333
1580410157233125227,-71.0850066667
1580410158234317930,-71.085055
1580410159236383249,-71.0851
1580410160235410484,-71.08515
1580410161232646355,-71.085195
1580410162233953832,-71.08524
1580410163235841204,-71.085285
1580410164235471860,-71.08533
1580410165234229419,-71.08537
1580410166233402311,-71.0854133333
1580410167236666736,-71.0854516667
1580410168235392170,-71.0854966667
1580410169236185643,-71.0855533333
1580410170233189143,-71.0856183333
1580410171234779768,-71.085625
1580410172232856002,-71.0856283333
1580410173233375313,-71.0856183333
1580410174232598849,-71.0856033333
1580410175234331079,-71.0855866667
1580410176233990084,-71.0855666667
1580410177234411103,-71.0855466667
1580410178231780302,-71.0855266667
1580410179233290553,-71.0855216667
1580410180232394233,-71.0855033333
1580410181231842421,-71.0854833333
1580410182231333060,-71.0854683333
1580410183259538167,-71.0854566667
1580410184258931514,-71.08544
1580410185258163147,-71.085425
1580410186255903295,-71.0854133333
1580410187258270000,-71.085405
1580410188231555062,-71.085395
1580410189231684224,-71.085385
1580410190255841396,-71.085375
1580410191258480103,-71.085365
1580410192256591004,-71.0853566667
1580410193230480065,-71.0853466667
1580410194254621160,-71.085335
1580410195257854935,-71.0853266667
1580410196230983240,-71.0853166667
1580410197230005781,-71.0853083333
1580410198230466030,-71.0852983333
1580410199230930053,-71.08529
1580410200230566377,-71.08528
1580410201230944327,-71.0852666667
1580410202230755223,-71.085255
1580410203230839600,-71.0852483333
1580410204230564011,-71.0852383333
1580410205229537737,-71.0852333333
1580410206229899296,-71.085225
1580410207235033516,-71.0852233333
1580410208230964049,-71.085215
1580410209229092176,-71.0852033333
1580410210228257666,-71.0851983333
1580410211229928895,-71.0851933333
1580410212230004452,-71.0851866667
1580410213231695446,-71.08518
1580410214232247393,-71.0851733333
1580410215232537698,-71.085165
1580410216234318899,-71.0851566667
1580410217230684046,-71.0851483333
1580410218230728195,-71.0851416667
1580410219234633767,-71.0851316667
1580410220233059791,-71.08512
1580410221231375512,-71.08511
1580410222231017601,-71.0851
1580410223234297586,-71.08509
1580410224233751114,-71.08508
1580410225232545862,-71.0850683333
1580410226231707003,-71.0850583333
1580410227233718853,-71.0850466667
1580410228233445963,-71.0850366667
1580410229231595476,-71.0850266667
1580410230231209661,-71.0850166667
1580410231235496400,-71.085005
1580410232233329455,-71.0849916667
1580410233232766150,-71.0849783333
1580410234259853335,-71.084965
1580410235260175785,-71.0849533333
1580410236260518920,-71.0849433333
1580410237259178101,-71.08493
1580410238260178628,-71.084915
1580410239235001273,-71.0849
1580410240239819977,-71.0848866667
1580410241256915901,-71.0848733333
1580410242259052446,-71.0848633333
1580410243258610877,-71.08485
1580410244231240385,-71.0848383333
1580410245256790826,-71.0848233333
1580410246257878683,-71.08481
1580410247231436835,-71.084795
1580410248232169985,-71.0847816667
1580410249232060214,-71.0847666667
1580410250232292780,-71.0847516667
1580410251233664166,-71.0847383333
1580410252233593817,-71.084725
1580410253231969278,-71.08471
1580410254231596636,-71.0846966667
1580410255234790574,-71.0846816667
1580410256234685634,-71.0846683333
1580410257233309408,-71.0846566667
1580410258234040923,-71.0846433333
1580410259233166306,-71.0846316667
1580410260232346504,-71.0846183333
1580410261239878425,-71.0846066667
1580410262231814559,-71.0845933333
1580410263232929951,-71.0845816667
1580410264231868703,-71.0845683333
1580410265230668167,-71.084555
1580410266232475916,-71.0845416667
1580410267233228245,-71.0845283333
1580410268231793248,-71.084515
1580410269229475659,-71.0845033333
1580410270231456515,-71.08449
1580410271233188215,-71.0844783333
1580410272233961817,-71.0844666667
1580410273233280151,-71.084455
1580410274232551853,-71.0844433333
1580410275233827040,-71.0844316667
1580410276232973228,-71.0844183333
1580410277231888466,-71.0844033333
1580410278231870480,-71.08439
1580410279233936419,-71.084375
1580410280233774563,-71.0843616667
1580410281232465247,-71.0843466667
1580410282231575449,-71.0843316667
1580410283233543481,-71.0843166667
1580410284259195132,-71.0843016667
1580410285258338877,-71.0842866667
1580410286231134263,-71.0842733333
1580410287259154058,-71.0842583333
1580410288258653982,-71.084245
1580410289257772827,-71.0842316667
1580410290232379638,-71.0842183333
1580410291251203553,-71.084205
1580410292262930527,-71.0841916667
1580410293260985338,-71.0841783333
1580410294262158976,-71.0841633333
1580410295236810452,-71.0841483333
1580410296262401384,-71.084135
1580410297263468738,-71.0841216667
1580410298236016792,-71.0841066667
1580410299236825389,-71.0840933333
1580410300241505693,-71.08408
1580410301235290967,-71.0840666667
1580410302235301666,-71.0840566667
1580410303237289502,-71.084045
1580410304236813977,-71.0840333333
1580410305234790401,-71.0840216667
1580410306235013694,-71.0840083333
1580410307236573653,-71.0839983333
1580410308236344362,-71.0839866667
1580410309236084338,-71.0839766667
1580410310235541427,-71.0839633333
1580410311237124071,-71.0839516667
1580410312236893603,-71.0839383333
1580410313235102288,-71.0839266667
