%time,field.data
1580410102228220691,4689026.09485
1580410103227438801,4689010.09446
1580410104225430060,4688991.8261
1580410105228139190,4688973.73273
1580410106226826180,4688955.42739
1580410107227828484,4688937.10861
1580410108229646093,4688918.23129
1580410109230008904,4688898.9704
1580410110229367111,4688879.31921
1580410111257527186,4688882.33079
1580410112237508071,4688896.10341
1580410113238428401,4688913.06261
1580410114240007203,4688927.52167
1580410115234920795,4688936.40841
1580410116235850570,4688944.00304
1580410117237010972,4688956.92435
1580410118236210132,4688962.6649
1580410119236680780,4688968.02858
1580410120235199542,4688973.7523
1580410121236449302,4688979.47939
1580410122236920854,4688985.77515
1580410123235381176,4688992.43769
1580410124234979923,4688999.10696
1580410125236616402,4689005.77286
1580410126235440951,4689012.43876
1580410127235806658,4689019.2931
1580410128234723194,4689026.15081
1580410129237099342,4689026.03302
1580410130235954184,4689025.91859
1580410131236242862,4689026.17768
1580410132261128798,4689026.44349
1580410133263241379,4689026.90112
1580410134261764584,4689027.54045
1580410135277407383,4689038.80284
1580410136261528566,4689056.5158
1580410137236455227,4689069.49096
1580410138263773722,4689077.15963
1580410139262718576,4689083.69095
1580410140261069965,4689089.65696
1580410141237691117,4689095.80804
1580410142263376785,4689101.77069
1580410143260851305,4689105.66727
1580410144235082391,4689110.12242
1580410145234430890,4689115.5164
1580410146234200934,4689120.17009
1580410147236301383,4689124.82041
1580410148235234773,4689135.0969
1580410149236230163,4689145.3734
1580410150233262738,4689155.64989
1580410151234351528,4689165.93312
1580410152235861227,4689175.83948
1580410153235239384,4689186.11599
1580410154234431884,4689196.38913
1580410155235476939,4689206.84734
1580410156234836300,4689217.11712
1580410157233099481,4689227.5787
1580410158233571248,4689237.85522
1580410159237643677,4689247.93993
1580410160235662051,4689258.40489
1580410161233863357,4689268.11947
1580410162234207265,4689278.01912
1580410163235082682,4689287.7337
1580410164235479677,4689297.44828
1580410165233834159,4689306.78263
1580410166233750879,4689315.75356
1580410167237551797,4689324.34426
1580410168235440060,4689333.68871
1580410169237009055,4689344.16716
1580410170233751766,4689355.03259
1580410171234654952,4689359.67283
1580410172233566216,4689363.01084
1580410173233843111,4689365.02641
1580410174233162155,4689366.29159
1580410175233652638,4689367.55341
1580410176234230796,4689368.25328
1580410177235278123,4689368.76808
1580410178231408753,4689369.28288
1580410179233447921,4689370.93842
1580410180233344108,4689371.45658
1580410181231638446,4689371.78632
1580410182231733728,4689372.49629
1580410183259995665,4689373.58314
1580410184258054359,4689375.03003
1580410185257939554,4689376.29522
1580410186256016425,4689377.38207
1580410187258270008,4689378.66073
1580410188231657813,4689379.75095
1580410189231366345,4689381.02624
1580410190257098914,4689382.30153
1580410191257594923,4689383.57682
1580410192257359835,4689384.85548
1580410193230453423,4689386.31584
1580410194255239417,4689387.40269
1580410195258722150,4689388.49628
1580410196231468792,4689389.5865
1580410197230441353,4689390.86516
1580410198230510822,4689392.32552
1580410199231601722,4689393.97432
1580410200231062085,4689395.80483
1580410201232106871,4689397.62859
1580410202231147426,4689398.90052
1580410203231564449,4689400.92283
1580410204231174839,4689402.56826
1580410205230192694,4689404.22379
1580410206229666971,4689406.61288
1580410207234417290,4689407.71993
1580410208232244931,4689409.73888
1580410209228899747,4689410.64066
1580410210228764994,4689412.11112
1580410211230582264,4689413.21145
1580410212230076055,4689414.3084
1580410213232429799,4689415.40536
1580410214231820846,4689416.31724
1580410215232166896,4689417.22576
1580410216233210441,4689418.31935
1580410217231835261,4689419.59801
1580410218231860056,4689420.88004
1580410219235425049,4689422.15533
1580410220233763337,4689423.61233
1580410221231249444,4689424.88762
1580410222230895416,4689425.97784
1580410223234248060,4689427.25313
1580410224234229297,4689428.15829
1580410225233233321,4689429.24514
1580410226233000686,4689430.33537
1580410227234009747,4689431.42222
1580410228234068292,4689432.69752
1580410229231717874,4689433.60267
1580410230231570242,4689434.50782
1580410231235282003,4689435.40961
1580410232233271875,4689436.67817
1580410233232265877,4689437.94673
1580410234259671339,4689439.21529
1580410235261030684,4689440.30215
1580410236259489258,4689441.2073
1580410237259138418,4689442.66093
1580410238259865101,4689444.48134
1580410239235192708,4689446.11668
1580410240239415481,4689447.57031
1580410241258135579,4689448.6538
1580410242259792533,4689449.37389
1580410243257597082,4689450.45738
1580410244232349385,4689451.35917
1580410245258432809,4689452.80943
1580410246258755517,4689453.89293
1580410247231669983,4689454.60291
1580410248232000064,4689454.76105
1580410249232811941,4689454.91582
1580410250231290425,4689455.62581
1580410251232884254,4689456.33916
1580410252232330257,4689457.05251
1580410253231225990,4689457.7625
1580410254231477190,4689458.47585
1580410255236116726,4689459.37091
1580410256234988456,4689460.45441
1580410257233290178,4689461.3562
1580410258232954694,4689462.25462
1580410259233179086,4689463.34148
1580410260232125405,4689464.61005
1580410261239873591,4689465.88198
1580410262233024764,4689466.96547
1580410263232883336,4689468.05234
1580410264233019138,4689469.50597
1580410265231317703,4689470.77454
1580410266232126824,4689471.85803
1580410267234039989,4689473.1266
1580410268231721492,4689474.2101
1580410269230501103,4689475.11189
1580410270231934463,4689476.19539
1580410271233540236,4689477.09718
1580410272233368086,4689477.8139
1580410273233332914,4689478.16048
1580410274233032399,4689478.8772
1580410275233065997,4689479.779
1580410276232946833,4689480.86249
1580410277232750024,4689481.75755
1580410278233042987,4689482.84105
1580410279235244117,4689483.92118
1580410280233765812,4689485.00468
1580410281232642157,4689486.08482
1580410282231891889,4689487.16495
1580410283233389099,4689488.06001
1580410284258809855,4689488.95507
1580410285258648373,4689489.85014
1580410286231859073,4689490.5635
1580410287259987347,4689491.45856
1580410288258218748,4689491.98685
1580410289256953176,4689492.88528
1580410290232093888,4689493.78371
1580410291250784367,4689494.86721
1580410292262289295,4689495.95071
1580410293261305305,4689496.84914
1580410294262436827,4689497.92927
1580410295237699128,4689499.00941
1580410296262430630,4689499.35263
1580410297263122326,4689500.43613
1580410298235829378,4689501.51627
1580410299237037442,4689502.4147
1580410300240496563,4689503.31313
1580410301236406130,4689504.5817
1580410302234956794,4689505.67193
1580410303237936540,4689506.7588
1580410304236832414,4689507.84567
1580410305236329014,4689508.93254
1580410306236468223,4689510.01604
1580410307236713691,4689511.10627
1580410308237999339,4689512.19314
1580410309235864898,4689513.46845
1580410310236158985,4689514.55195
1580410311236873332,4689515.63882
1580410312236933566,4689516.90739
1580410313236078217,4689517.99426
