%time,field.data
1580410102227726295,T
1580410103227327245,T
1580410104226247947,T
1580410105229054801,T
1580410106227244700,T
1580410107226848638,T
1580410108229179851,T
1580410109229869487,T
1580410110229908584,T
1580410111258606998,T
1580410112237444636,T
1580410113239010053,T
1580410114240324610,T
1580410115235070418,T
1580410116236617065,T
1580410117237561801,T
1580410118237577701,T
1580410119236693955,T
1580410120236251688,T
1580410121237321343,T
1580410122237023127,T
1580410123236414695,T
1580410124235501482,T
1580410125235647132,T
1580410126236215351,T
1580410127236610088,T
1580410128234922624,T
1580410129237778055,T
1580410130237159015,T
1580410131237098936,T
1580410132261451366,T
1580410133263184849,T
1580410134263093438,T
1580410135277179745,T
1580410136262286523,T
1580410137236756602,T
1580410138264207372,T
1580410139263482511,T
1580410140261823836,T
1580410141237994697,T
1580410142263827775,T
1580410143260809172,T
1580410144235626253,T
1580410145234879981,T
1580410146233918052,T
1580410147236293790,T
1580410148235514904,T
1580410149236281613,T
1580410150234370009,T
1580410151234810388,T
1580410152235823249,T
1580410153235856670,T
1580410154235478630,T
1580410155235448181,T
1580410156234516477,T
1580410157232979766,T
1580410158234513741,T
1580410159237598620,T
1580410160236255505,T
1580410161233762115,T
1580410162235145761,T
1580410163235264159,T
1580410164235626753,T
1580410165233768367,T
1580410166233402298,T
1580410167237757816,T
1580410168235232007,T
1580410169236871517,T
1580410170233487334,T
1580410171235247579,T
1580410172233843435,T
1580410173233336760,T
1580410174232551710,T
1580410175233968030,T
1580410176235372261,T
1580410177236155708,T
1580410178232508769,T
1580410179232998793,T
1580410180233163435,T
1580410181232321772,T
1580410182232590024,T
1580410183259961801,T
1580410184258856136,T
1580410185258910043,T
1580410186255585884,T
1580410187258748575,T
1580410188231885752,T
1580410189231222942,T
1580410190257325404,T
1580410191258016510,T
1580410192258107792,T
1580410193230192702,T
1580410194255259396,T
1580410195258527261,T
1580410196231162360,T
1580410197230213238,T
1580410198229901913,T
1580410199232361216,T
1580410200232163218,T
1580410201231570150,T
1580410202230820371,T
1580410203232205957,T
1580410204231564474,T
1580410205230807283,T
1580410206230093870,T
1580410207235048896,T
1580410208232259151,T
1580410209229940249,T
1580410210229409806,T
1580410211231243181,T
1580410212230400419,T
1580410213232913472,T
1580410214231624646,T
1580410215233257013,T
1580410216233177496,T
1580410217231886098,T
1580410218232254367,T
1580410219235107827,T
1580410220234135090,T
1580410221232292010,T
1580410222231453767,T
1580410223235053801,T
1580410224234192202,T
1580410225233745299,T
1580410226232595209,T
1580410227233692685,T
1580410228233403929,T
1580410229231715027,T
1580410230231983229,T
1580410231235004533,T
1580410232234464471,T
1580410233233225914,T
1580410234260234855,T
1580410235261635430,T
1580410236260472806,T
1580410237259499873,T
1580410238259110138,T
1580410239234950742,T
1580410240239570314,T
1580410241258135564,T
1580410242260688452,T
1580410243257552839,T
1580410244232631095,T
1580410245258208085,T
1580410246257913293,T
1580410247232022282,T
1580410248231763285,T
1580410249232447875,T
1580410250232020854,T
1580410251232853238,T
1580410252233048187,T
1580410253231586623,T
1580410254232792823,T
1580410255235894827,T
1580410256234943992,T
1580410257233711037,T
1580410258232421741,T
1580410259233155284,T
1580410260232463990,T
1580410261240866876,T
1580410262233344361,T
1580410263233816886,T
1580410264232978429,T
1580410265231921253,T
1580410266232445075,T
1580410267234903935,T
1580410268231268533,T
1580410269231123212,T
1580410270231750923,T
1580410271234749172,T
1580410272234015395,T
1580410273232927846,T
1580410274233953708,T
1580410275233864373,T
1580410276233930871,T
1580410277233221940,T
1580410278233025114,T
1580410279234856946,T
1580410280234057993,T
1580410281233396951,T
1580410282232206516,T
1580410283234317462,T
1580410284259278090,T
1580410285259323021,T
1580410286232807125,T
1580410287259154051,T
1580410288258054243,T
1580410289257675160,T
1580410290233181531,T
1580410291251912109,T
1580410292262249979,T
1580410293262021388,T
1580410294262194385,T
1580410295237590119,T
1580410296263380823,T
1580410297263825366,T
1580410298236651071,T
1580410299236475280,T
1580410300241364374,T
1580410301235915852,T
1580410302235266436,T
1580410303237780083,T
1580410304237939991,T
1580410305236555316,T
1580410306236438996,T
1580410307237160494,T
1580410308237881969,T
1580410309236783751,T
1580410310236715257,T
1580410311237104161,T
1580410312237058920,T
1580410313236044999,T
