%time,field.data
1580410102228348464,19.0
1580410103227458792,19.0
1580410104225657886,19.0
1580410105229559313,19.0
1580410106227618427,19.0
1580410107226882998,19.0
1580410108229286967,19.0
1580410109230024491,19.0
1580410110230150293,19.0
1580410111257413281,19.0
1580410112237502391,19.0
1580410113238128689,19.0
1580410114240735112,19.0
1580410115235463806,19.0
1580410116236588382,19.0
1580410117237174957,19.0
1580410118236685632,19.0
1580410119237139170,19.0
1580410120235572862,19.0
1580410121237074508,19.0
1580410122236487751,19.0
1580410123236538404,19.0
1580410124235042627,19.0
1580410125235728897,19.0
1580410126235757506,19.0
1580410127236403543,19.0
1580410128235110704,19.0
1580410129237804662,19.0
1580410130236652437,19.0
1580410131237115602,19.0
1580410132261092512,19.0
1580410133263412488,19.0
1580410134262292080,19.0
1580410135277695040,19.0
1580410136262195653,19.0
1580410137236660304,19.0
1580410138263688806,19.0
1580410139263275515,19.0
1580410140261852679,19.0
1580410141237778971,19.0
1580410142262857951,19.0
1580410143260912925,19.0
1580410144235083057,19.0
1580410145233356329,19.0
1580410146233699320,19.0
1580410147236288886,19.0
1580410148235411182,19.0
1580410149236365376,19.0
1580410150234856928,19.0
1580410151234053790,19.0
1580410152235401997,19.0
1580410153235888177,19.0
1580410154234773094,19.0
1580410155235646366,19.0
1580410156234809596,19.0
1580410157233148131,19.0
1580410158234113828,19.0
1580410159237683564,19.0
1580410160235150440,19.0
1580410161233658519,19.0
1580410162235380934,19.0
1580410163234809428,19.0
1580410164235609110,19.0
1580410165234008309,19.0
1580410166233470888,19.0
1580410167237369518,19.0
1580410168235965777,19.0
1580410169236987607,19.0
1580410170233780119,19.0
1580410171234798084,19.0
1580410172233586407,19.0
1580410173233363605,19.0
1580410174232742247,19.0
1580410175233823804,19.0
1580410176234628855,19.0
1580410177235306570,19.0
1580410178232246780,19.0
1580410179233035947,19.0
1580410180233323804,19.0
1580410181231701512,19.0
1580410182232590011,19.0
1580410183260136011,19.0
1580410184258628743,19.0
1580410185258694794,19.0
1580410186255621443,19.0
1580410187258494722,19.0
1580410188232354916,19.0
1580410189231444375,19.0
1580410190256198279,19.0
1580410191257254811,19.0
1580410192257678098,19.0
1580410193230625313,19.0
1580410194255147179,19.0
1580410195259202088,19.0
1580410196231090361,19.0
1580410197229957567,19.0
1580410198230311460,19.0
1580410199232117292,19.0
1580410200231787713,19.0
1580410201231537752,19.0
1580410202230961135,19.0
1580410203232205493,19.0
1580410204231594472,19.0
1580410205230170786,19.0
1580410206229248492,19.0
1580410207234151569,19.0
1580410208232738748,19.0
1580410209228647002,19.0
1580410210229920561,19.0
1580410211230351561,19.0
1580410212230612630,19.0
1580410213232509825,19.0
1580410214231758151,19.0
1580410215233534805,19.0
1580410216233231066,19.0
1580410217231874167,19.0
1580410218232061401,19.0
1580410219234630881,19.0
1580410220234511048,19.0
1580410221231150953,19.0
1580410222230950070,19.0
1580410223235027937,19.0
1580410224233820984,19.0
1580410225233384714,19.0
1580410226232553445,19.0
1580410227233587599,19.0
1580410228233816807,19.0
1580410229231723642,19.0
1580410230232005664,19.0
1580410231234733785,19.0
1580410232234844933,19.0
1580410233233287116,19.0
1580410234259734713,19.0
1580410235260865838,19.0
1580410236259847612,19.0
1580410237258691407,19.0
1580410238259316942,19.0
1580410239235177662,19.0
1580410240239458190,19.0
1580410241259159788,19.0
1580410242260503744,19.0
1580410243257868322,19.0
1580410244231911864,19.0
1580410245258189105,19.0
1580410246258328884,19.0
1580410247231968966,19.0
1580410248231964684,19.0
1580410249232012105,19.0
1580410250232278104,19.0
1580410251233304434,19.0
1580410252233444258,19.0
1580410253232027117,19.0
1580410254232643240,19.0
1580410255236189174,19.0
1580410256235115058,19.0
1580410257233914097,19.0
1580410258232663573,19.0
1580410259233911327,19.0
1580410260232147176,19.0
1580410261240895223,19.0
1580410262233361935,19.0
1580410263233106148,19.0
1580410264233148623,19.0
1580410265231102730,19.0
1580410266233097571,19.0
1580410267234297764,19.0
1580410268231527497,19.0
1580410269230466293,19.0
1580410270231980599,19.0
1580410271234444196,19.0
1580410272233030287,19.0
1580410273233280158,19.0
1580410274233920799,19.0
1580410275233875260,19.0
1580410276234038717,19.0
1580410277233010902,19.0
1580410278232803312,19.0
1580410279234953574,19.0
1580410280234389172,19.0
1580410281232961926,19.0
1580410282231860584,19.0
1580410283233786566,19.0
1580410284259258905,19.0
1580410285258307389,19.0
1580410286232773979,19.0
1580410287259293029,19.0
1580410288258421733,19.0
1580410289256982047,19.0
1580410290233036703,19.0
1580410291251638736,19.0
1580410292262930518,19.0
1580410293260953054,19.0
1580410294262042476,19.0
1580410295237557310,19.0
1580410296262161796,19.0
1580410297262706009,19.0
1580410298236455904,19.0
1580410299236621529,19.0
1580410300241113898,19.0
1580410301235981983,19.0
1580410302235006960,19.0
1580410303238603271,19.0
1580410304237224439,19.0
1580410305235814514,19.0
1580410306236072880,19.0
1580410307237820670,19.0
1580410308237333849,19.0
1580410309236783741,19.0
1580410310236126639,19.0
1580410311237417019,19.0
1580410312237025894,19.0
1580410313235380592,19.0
