%time,field.data
1580348347289673806,1.6
1580348348305498152,1.6
1580348349287562141,1.6
1580348350304193032,1.6
1580348351288182027,1.6
1580348352300492125,1.6
1580348353290072056,1.6
1580348354291029214,1.6
1580348355291798311,1.6
1580348356294901330,1.2
1580348357292637673,1.2
1580348358294046733,1.2
1580348359292486208,1.2
1580348360292715688,1.1
1580348361292484330,1.2
1580348362292551062,1.2
1580348363292966089,1.2
1580348364293314566,1.2
1580348365292685772,1.2
1580348366293060912,1.1
1580348367292166066,1.2
1580348368292105906,1.3
1580348369290381604,1.3
1580348370294326362,1.2
1580348371293616198,1.2
1580348372313466107,1.2
1580348373292358312,1.6
1580348374292806316,1.6
1580348375291238350,1.6
1580348376290602202,1.6
1580348377291656605,1.2
1580348378292108127,1.2
1580348379294572588,1.1
1580348380314815962,1.2
1580348381291138341,1.2
1580348382293105760,1.2
1580348383292731223,1.2
1580348384291710729,1.6
1580348385293758935,1.6
1580348386293519709,1.2
1580348387292566032,1.2
1580348388293897436,1.2
1580348389292324929,1.2
1580348390292710853,1.6
1580348391291950273,1.6
1580348392293606984,1.2
1580348393289866378,1.6
1580348394299602863,1.6
1580348395289851520,1.6
1580348396290135340,1.6
1580348397286789960,1.8
1580348398287071299,1.3
1580348399304908863,1.3
1580348400287666562,1.3
1580348401313910583,1.3
1580348402286414069,1.3
1580348403289193594,1.3
1580348404294413033,1.3
1580348405287919786,1.8
1580348406293485649,1.8
1580348407289920752,1.8
1580348408288092998,1.8
1580348409287836801,1.8
1580348410287945452,1.8
1580348411292466436,1.8
1580348412290427400,1.8
1580348413289163727,1.8
1580348414289238259,1.8
1580348415290280035,1.6
1580348416285636687,1.8
1580348417284937083,1.8
1580348418285477661,1.8
1580348419284433958,1.8
1580348420284012832,1.8
1580348421285258923,1.8
1580348422285816159,1.8
1580348423303778716,1.8
1580348424296635668,1.8
1580348425285440560,1.8
1580348426285291809,1.8
1580348427286579505,1.8
1580348428284523296,1.8
1580348429293868461,1.8
1580348430288248314,1.8
1580348431292278350,1.8
1580348432286769310,1.8
1580348433290037878,1.3
1580348434287314134,1.3
1580348435306527663,1.3
1580348436288956962,1.3
1580348437286808878,1.3
1580348438287961828,1.3
1580348439287696464,1.3
1580348440287711055,1.3
1580348441286667325,1.3
1580348442288066134,1.3
1580348443286783004,1.3
1580348444287482825,1.3
1580348445286587023,1.3
1580348446288213487,1.3
1580348447286720149,1.8
1580348448288730647,1.3
1580348449288896644,1.8
1580348450302753268,1.8
1580348451286794132,1.3
1580348452302344923,1.8
1580348453286584753,1.8
1580348454303780553,1.8
1580348455286227112,1.8
1580348456285657845,1.8
1580348457286381657,1.8
1580348458285839875,1.8
1580348459286324396,1.8
1580348460286106025,1.8
1580348461285673764,1.8
1580348462287010439,1.8
1580348463286594748,1.8
1580348464292023094,1.8
1580348465288286495,1.8
1580348466294239884,1.1
1580348467293829119,1.1
1580348468291928221,1.6
1580348469292065085,1.6
1580348470290803910,1.6
1580348471292161236,1.2
1580348472293733382,1.2
1580348473308120228,1.6
1580348474287069575,1.6
1580348475286548347,1.6
1580348476287242449,1.6
1580348477289595418,1.6
1580348478286966258,1.6
1580348479289281797,1.6
1580348480289242187,1.3
1580348481291151448,1.3
1580348482290487964,1.3
1580348483291906718,1.3
1580348484298372289,1.3
1580348485307262095,1.3
1580348486291007031,1.3
1580348487290783631,1.3
1580348488287063738,1.6
1580348489295063437,1.6
1580348490285123774,1.6
1580348491286522603,1.6
1580348492287021760,1.6
1580348493286798862,1.6
1580348494287384771,1.6
1580348495289069405,1.6
1580348496288185266,1.6
1580348497291955578,1.6
1580348498291375728,1.6
1580348499291064386,1.6
1580348500310251176,1.2
1580348501290470626,1.2
1580348502287629913,1.2
1580348503311203043,1.2
1580348504286681151,1.2
1580348505286094383,1.6
1580348506285699944,1.6
1580348507284445320,1.6
1580348508285607531,1.6
1580348509285819795,1.6
1580348510286695498,1.6
1580348511286927747,1.6
1580348512286691921,1.6
1580348513288157842,1.6
1580348514288197506,1.6
1580348515292877814,1.6
1580348516291674145,1.6
1580348517294254143,1.1
1580348518292860188,1.1
1580348519294179223,1.1
1580348520293890028,1.1
1580348521292558662,1.1
1580348522292422257,1.1
1580348523293201535,1.1
1580348524311593154,1.1
1580348525293302286,1.1
1580348526293827315,1.1
1580348527292583423,1.1
1580348528290130612,1.2
1580348529298477416,1.2
1580348530297166724,1.6
1580348531294183144,1.6
1580348532297408023,1.6
1580348533296847633,1.6
1580348534296522867,1.6
1580348535295899684,1.6
1580348536314321002,1.6
1580348537294233494,1.6
1580348538296653379,1.6
1580348539289651200,1.6
1580348540288582069,1.6
1580348541298505571,1.6
1580348542295599687,1.6
1580348543296344648,1.6
1580348544296454436,1.6
1580348545297887062,1.6
1580348546285628759,3.1
1580348547298396374,1.3
1580348548297950662,1.4
1580348549295981714,1.4
1580348550296497193,1.4
1580348551305048025,1.4
1580348552296195711,1.4
1580348553313828529,3.1
1580348554293820419,3.1
1580348555293605472,3.1
1580348556286473075,3.1
1580348557293390321,3.1
1580348558285259156,3.1
1580348559291709817,3.1
1580348560290582658,3.1
1580348561290188510,3.1
1580348562291243289,3.1
1580348563282920693,3.1
1580348564294339337,1.6
1580348565294252843,1.6
1580348566293718190,1.6
1580348567294534581,1.6
1580348568293371643,1.6
1580348569293220787,1.6
1580348570293230262,1.6
1580348571293288394,1.6
1580348572293617856,1.6
1580348573294625289,1.6
1580348574291960572,3.1
1580348575310887141,3.1
1580348576295799320,1.6
1580348577293300222,3.1
1580348578293571428,3.1
1580348579293849343,3.1
1580348580286638341,3.1
1580348581291244701,3.1
1580348582295117352,3.1
1580348583292631957,3.1
1580348584301830225,3.1
1580348585299560178,1.8
1580348586292308988,1.8
1580348587285795162,1.8
1580348588286980924,1.8
1580348589308771318,1.6
1580348590290401115,1.6
1580348591298664878,1.6
1580348592298903448,1.6
1580348593298348405,1.6
1580348594295338497,1.8
1580348595297478520,1.6
1580348596295862477,1.8
1580348597294387188,1.8
1580348598299587704,1.8
1580348599296413758,1.8
1580348600289946801,1.6
1580348601315357659,1.6
1580348602297956047,1.6
1580348603297981615,1.6
1580348604316825553,1.6
1580348605287747172,1.8
1580348606287735197,1.8
1580348607295321697,1.8
1580348608295277410,1.8
1580348609295585088,1.8
1580348610308606316,1.6
1580348611291042268,1.6
1580348612290765715,1.6
1580348613299549501,1.6
1580348614299374832,1.6
1580348615298835937,1.6
1580348616298230916,1.6
1580348617299810865,1.6
1580348618298488347,1.6
1580348619294294692,1.8
1580348620293255061,1.8
1580348621296379056,1.8
1580348622298656130,1.6
1580348623300549330,1.6
1580348624297988143,1.6
1580348625317602062,1.6
1580348626301519666,1.6
1580348627298869414,1.6
1580348628290767519,1.6
1580348629292001406,1.6
1580348630299187745,1.6
1580348631297748312,1.6
1580348632296225225,1.6
1580348633297214062,1.6
1580348634297982008,1.6
1580348635297742436,1.6
1580348636289412206,1.6
1580348637298248556,1.6
1580348638301418323,1.6
1580348639298020251,1.6
1580348640315510562,1.6
1580348641290834375,1.6
1580348642291749894,1.6
1580348643298782487,1.6
1580348644297347356,1.6
1580348645298761785,1.6
1580348646300587589,1.6
1580348647291670798,1.6
1580348648297277398,1.6
1580348649298029591,1.6
1580348650296674277,1.6
1580348651316229260,1.6
1580348652290906298,1.6
1580348653296809333,1.6
1580348654307580563,1.6
1580348655303652606,1.6
1580348656304762596,1.6
1580348657294814073,1.6
1580348658287889800,1.6
1580348659286488213,1.6
1580348660288635955,1.6
1580348661300091457,1.6
1580348662295879653,1.6
1580348663297001874,1.8
1580348664290647359,1.8
1580348665290594260,1.8
1580348666292549924,1.8
1580348667294178298,1.8
1580348668291577148,1.8
1580348669302726026,1.8
1580348670293476959,1.8
1580348671292738332,1.8
1580348672284834219,1.8
1580348673293361303,1.8
1580348674291895898,1.8
1580348675309031899,1.8
1580348676284056278,1.8
1580348677296449548,1.8
1580348678292310123,1.8
1580348679291377961,1.8
1580348680291595881,1.8
1580348681298216624,1.8
1580348682292711140,1.8
1580348683288048151,1.8
1580348684282867416,1.8
1580348685292296556,1.8
1580348686290859774,1.8
1580348687295894870,1.8
1580348688299368361,1.8
1580348689298614706,1.8
1580348690308793740,1.8
