%time,field.data
1580348347290410460,328048.545504
1580348348306415452,328048.545504
1580348349287519103,328048.68281
1580348350304372493,328048.68281
1580348351287254987,328048.68281
1580348352301092648,328048.68281
1580348353290096009,328048.68281
1580348354291756180,328048.545504
1580348355292353896,328048.545504
1580348356294915434,328048.545504
1580348357292626873,328048.545504
1580348358293791816,328047.982651
1580348359293679944,328046.719638
1580348360293235008,328045.735781
1580348361292432093,328045.314776
1580348362292779484,328045.314776
1580348363292549664,328045.314776
1580348364293180937,328045.314776
1580348365293855524,328045.314776
1580348366292860633,328045.031078
1580348367292131526,328044.742837
1580348368291834750,328044.742837
1580348369291826161,328044.605531
1580348370294374725,328044.605531
1580348371293894142,328044.605531
1580348372311948470,328044.605531
1580348373291763140,328044.605531
1580348374292258042,328044.468224
1580348375292523040,328044.468224
1580348376290164402,328044.189069
1580348377291987578,328044.756466
1580348378292065195,328044.486396
1580348379295309131,328044.490939
1580348380315147993,328044.490939
1580348381291090582,328044.490939
1580348382292922992,328044.490939
1580348383292552358,328044.490939
1580348384292424947,328044.490939
1580348385293035101,328044.490939
1580348386292750526,328044.490939
1580348387292942098,328044.490939
1580348388292839939,328044.490939
1580348389292342268,328044.490939
1580348390292235337,328044.490939
1580348391292604741,328044.490939
1580348392292393282,328044.490939
1580348393290905469,328044.490939
1580348394299636214,328044.490939
1580348395289582727,328044.490939
1580348396290261612,328044.490939
1580348397286725497,328044.490939
1580348398287421921,328044.490939
1580348399305885281,328044.490939
1580348400288023104,328044.490939
1580348401314595755,328044.490939
1580348402287023990,328044.490939
1580348403288002671,328044.486396
1580348404294371696,328044.486396
1580348405286801667,328044.486396
1580348406293479359,328044.486396
1580348407288629503,328044.486396
1580348408288124286,328044.486396
1580348409287219759,328044.486396
1580348410288937410,328044.486396
1580348411292465082,328044.486396
1580348412289584604,328044.486396
1580348413289006400,328044.486396
1580348414288448734,328044.486396
1580348415290214468,328044.486396
1580348416285681683,328044.486396
1580348417285411891,328044.486396
1580348418285855928,328044.481853
1580348419284215377,328044.481853
1580348420284609052,328044.481853
1580348421284365487,328044.481853
1580348422284886641,328044.481853
1580348423304254644,328044.481853
1580348424296567519,328044.481853
1580348425284779881,328044.481853
1580348426284924022,328044.481853
1580348427286898961,328044.481853
1580348428286024181,328044.344547
1580348429294985458,328044.344547
1580348430288421754,328044.344547
1580348431291940553,328044.344547
1580348432287271187,328044.344547
1580348433290507165,328044.344547
1580348434289269587,328044.074478
1580348435305349688,328043.941714
1580348436287831675,328043.808951
1580348437287301749,328043.538882
1580348438288392049,328043.538882
1580348439287696475,328043.538882
1580348440287481868,328043.538882
1580348441287915492,328043.538882
1580348442288268527,328043.538882
1580348443287301152,328043.538882
1580348444288039241,328043.538882
1580348445287724066,328043.538882
1580348446288422793,328043.538882
1580348447286280916,328043.538882
1580348448288696699,328043.538882
1580348449288658992,328043.538882
1580348450303214762,328043.538882
1580348451286982955,328043.538882
1580348452302808149,328043.538882
1580348453286100983,328043.538882
1580348454304958733,328043.538882
1580348455286443527,328043.538882
1580348456285286471,328043.538882
1580348457286338888,328043.676188
1580348458285839522,328043.676188
1580348459286761912,328043.680731
1580348460286649663,328043.680731
1580348461287479008,328043.680731
1580348462285808255,328043.680731
1580348463286623729,328043.680731
1580348464292009575,328043.680731
1580348465288295946,328043.680731
1580348466294172672,328043.680731
1580348467293416027,328043.680731
1580348468292645611,328043.680731
1580348469291884343,328043.680731
1580348470292182381,328043.680731
1580348471292774574,328043.680731
1580348472294312227,328043.680731
1580348473308498887,328043.680731
1580348474286070377,328043.680731
1580348475286271942,328043.680731
1580348476287842147,328043.680731
1580348477289573667,328043.680731
1580348478288152302,328043.680731
1580348479289182494,328043.680731
1580348480289195488,328043.680731
1580348481290896749,328043.680731
1580348482290649230,328043.680731
1580348483291973864,328043.680731
1580348484297993679,328043.680731
1580348485308536457,328043.680731
1580348486290155133,328043.680731
1580348487289678479,328043.680731
1580348488287055941,328043.685274
1580348489295266343,328043.685274
1580348490285094303,328043.685274
1580348491286481807,328043.685274
1580348492287949394,328043.685274
1580348493288004623,328043.82258
1580348494287870481,328043.82258
1580348495287594669,328043.82258
1580348496287555796,328043.82258
1580348497291541352,328043.557053
1580348498291747288,328043.557053
1580348499291105024,328043.557053
1580348500310222729,328043.557053
1580348501290195523,328043.557053
1580348502287366703,328043.557053
1580348503310847798,328043.557053
1580348504285744747,328043.557053
1580348505286096311,328043.557053
1580348506285497282,328043.557053
1580348507284416622,328043.557053
1580348508285899082,328043.557053
1580348509286943834,328043.557053
1580348510286830286,328043.557053
1580348511287222379,328043.69436
1580348512286631165,328043.69436
1580348513287478982,328043.69436
1580348514288370938,328043.698903
1580348515293739236,328043.698903
1580348516291410425,328043.698903
1580348517292594747,328043.698903
1580348518292651063,328043.698903
1580348519294847182,328043.698903
1580348520294133823,328043.69436
1580348521294416747,328043.69436
1580348522293238891,328043.69436
1580348523292996517,328043.69436
1580348524312066649,328043.69436
1580348525293782525,328043.69436
1580348526293868341,328043.69436
1580348527292620144,328043.69436
1580348528291019897,328043.69436
1580348529298510654,328043.69436
1580348530296246596,328043.69436
1580348531294159311,328043.69436
1580348532297442389,328043.831666
1580348533296430441,328043.831666
1580348534296531470,328043.831666
1580348535296064777,328043.831666
1580348536314924765,328043.831666
1580348537296062672,328043.831666
1580348538296821431,328043.831666
1580348539289297787,328043.831666
