%time,field.data
1580348347290124256,4689363.0385
1580348348305301896,4689363.0385
1580348349287573891,4689363.03513
1580348350304164235,4689363.03513
1580348351288741982,4689363.03513
1580348352301092661,4689363.03513
1580348353291564944,4689363.03513
1580348354291144998,4689363.0385
1580348355292393457,4689363.0385
1580348356294630922,4689363.0385
1580348357292785657,4689363.0385
1580348358294530010,4689362.49677
1580348359292923981,4689361.41668
1580348360292624439,4689360.51492
1580348361293483683,4689360.15489
1580348362293025254,4689360.15489
1580348363292549734,4689360.15489
1580348364293400382,4689360.15489
1580348365293892276,4689360.15489
1580348366293623593,4689359.79149
1580348367293275649,4689359.24301
1580348368293192789,4689359.24301
1580348369291242702,4689359.24638
1580348370295015697,4689359.24638
1580348371293794402,4689359.24638
1580348372312684116,4689359.24638
1580348373292353636,4689359.24638
1580348374291934817,4689359.24976
1580348375291827335,4689359.24976
1580348376290133838,4689359.07143
1580348377291483270,4689359.79823
1580348378292097994,4689359.99004
1580348379294549274,4689360.17511
1580348380314611205,4689360.17511
1580348381292436145,4689360.17511
1580348382292387252,4689360.17511
1580348383292552341,4689360.17511
1580348384291679437,4689360.17511
1580348385292017872,4689360.17511
1580348386292229309,4689360.17511
1580348387293309741,4689360.17511
1580348388293544247,4689360.17511
1580348389292260988,4689360.17511
1580348390292859126,4689360.17511
1580348391292604732,4689360.17511
1580348392294308023,4689360.17511
1580348393290216113,4689360.17511
1580348394300033499,4689360.17511
1580348395289553711,4689360.17511
1580348396289824195,4689360.17511
1580348397286481188,4689360.17511
1580348398288122055,4689360.17511
1580348399305665682,4689360.17511
1580348400287662697,4689360.17511
1580348401314591487,4689360.17511
1580348402286967319,4689360.17511
1580348403287760222,4689359.99004
1580348404295061124,4689359.99004
1580348405286832846,4689359.99004
1580348406294128528,4689359.99004
1580348407289432137,4689359.99004
1580348408288926354,4689359.99004
1580348409288511367,4689359.99004
1580348410287712077,4689359.99004
1580348411294417271,4689359.99004
1580348412289650812,4689359.99004
1580348413288823959,4689359.99004
1580348414289316317,4689359.99004
1580348415290264275,4689359.99004
1580348416286628605,4689359.99004
1580348417285834632,4689359.99004
1580348418286294271,4689359.80497
1580348419284354999,4689359.80497
1580348420283997177,4689359.80497
1580348421285889686,4689359.80497
1580348422286106199,4689359.80497
1580348423303918036,4689359.80497
1580348424296567497,4689359.80497
1580348425285982172,4689359.80497
1580348426285037964,4689359.80497
1580348427286534794,4689359.80497
1580348428285717878,4689359.80834
1580348429294042914,4689359.80834
1580348430289099531,4689359.80834
1580348431291989875,4689359.80834
1580348432286516771,4689359.80834
1580348433290980183,4689359.80834
1580348434288224132,4689360.00015
1580348435305854826,4689360.18859
1580348436288176149,4689360.37703
1580348437286907574,4689360.56884
1580348438288301798,4689360.56884
1580348439288482893,4689360.56884
1580348440287690671,4689360.56884
1580348441287999741,4689360.56884
1580348442288961483,4689360.56884
