%time,field.data
1580348347289979587,T
1580348348306435945,T
1580348349287712413,T
1580348350305320684,T
1580348351288754875,T
1580348352300544916,T
1580348353291198853,T
1580348354292232283,T
1580348355292545131,T
1580348356294474250,T
1580348357292375221,T
1580348358294574468,T
1580348359294455990,T
1580348360293553079,T
1580348361294121636,T
1580348362293841392,T
1580348363293537191,T
1580348364294962191,T
1580348365295039073,T
1580348366293907690,T
1580348367293248150,T
1580348368293003578,T
1580348369291443593,T
1580348370295890157,T
1580348371294804889,T
1580348372312676524,T
1580348373293141390,T
1580348374292219084,T
1580348375292543816,T
1580348376291580049,T
1580348377292427912,T
1580348378292965400,T
1580348379295556537,T
1580348380314583934,T
1580348381292314253,T
1580348382293529415,T
1580348383293643821,T
1580348384292697809,T
1580348385293008660,T
1580348386293216882,T
1580348387293589722,T
1580348388293480936,T
1580348389293294144,T
1580348390292197633,T
1580348391292991134,T
1580348392293640272,T
1580348393291109098,T
1580348394301066331,T
1580348395290240100,T
1580348396290025531,T
1580348397287198327,T
1580348398287433308,T
1580348399305998375,T
1580348400287988423,T
1580348401316318671,T
1580348402286932685,T
1580348403288366182,T
1580348404295628868,T
1580348405287878469,T
1580348406294815616,T
1580348407288973124,T
1580348408288218378,T
1580348409288744842,T
1580348410288953756,T
1580348411293730593,T
1580348412289877896,T
1580348413288794417,T
1580348414288432255,T
1580348415291104082,T
1580348416286183838,T
1580348417286303260,T
1580348418285500591,T
1580348419285247104,T
1580348420285304968,T
1580348421285413726,T
1580348422285382356,T
1580348423305289384,T
1580348424296989020,T
1580348425285398708,T
1580348426285587681,T
1580348427287236439,T
1580348428286848432,T
1580348429294943154,T
1580348430289126449,T
1580348431293188143,T
1580348432286477336,T
1580348433291014463,T
1580348434288768113,T
1580348435305561249,T
1580348436288284483,T
1580348437287268051,T
1580348438288903075,T
1580348439288465050,T
1580348440288357203,T
1580348441287640645,T
1580348442288931616,T
1580348443288344366,T
1580348444287775208,T
1580348445288110721,T
1580348446288103989,T
1580348447286789243,T
1580348448289401219,T
1580348449288373500,T
1580348450303939937,T
1580348451287287823,T
1580348452303479432,T
1580348453286066167,T
1580348454305780718,T
1580348455287873854,T
1580348456286031513,T
1580348457287817059,T
1580348458286206880,T
1580348459286706132,T
1580348460287664322,T
1580348461286240307,T
1580348462286427452,T
1580348463287919485,T
1580348464293093709,T
1580348465289285053,T
1580348466295651665,T
1580348467294640931,T
1580348468291932257,T
1580348469293733778,T
1580348470292182368,T
1580348471293005694,T
1580348472294236062,T
1580348473309656172,T
1580348474287315445,T
1580348475286576527,T
1580348476287622127,T
1580348477289547242,T
1580348478287409988,T
1580348479289523684,T
1580348480290308869,T
1580348481290535004,T
1580348482290454225,T
1580348483290708834,T
1580348484297570952,T
1580348485308334359,T
1580348486290961515,T
1580348487290215808,T
1580348488288535194,T
1580348489295017115,T
1580348490286259401,T
1580348491286917151,T
1580348492287672431,T
1580348493288564608,T
1580348494288525328,T
1580348495289099881,T
1580348496287533908,T
1580348497292286929,T
1580348498292762643,T
1580348499292107076,T
1580348500311217925,T
1580348501291274062,T
1580348502288344073,T
1580348503312776801,T
1580348504286265529,T
1580348505285811699,T
1580348506286373808,T
1580348507285960979,T
1580348508287236855,T
1580348509285837993,T
1580348510287071095,T
1580348511286657948,T
1580348512287789162,T
1580348513288938023,T
1580348514288935474,T
1580348515293355700,T
1580348516292944862,T
1580348517294253973,T
1580348518293971140,T
1580348519294018089,T
1580348520293874029,T
1580348521293905101,T
1580348522293548238,T
1580348523292808262,T
1580348524312508406,T
1580348525292912216,T
1580348526294612452,T
1580348527294207123,T
1580348528290482042,T
1580348529298795309,T
1580348530297677355,T
1580348531295195480,T
1580348532296743054,T
1580348533297474796,T
