%time,field.data
1580348347290357907,19.0
1580348348305752908,19.0
1580348349287925443,19.0
1580348350305628302,19.0
1580348351288332183,19.0
1580348352300454671,19.0
1580348353290675840,19.0
1580348354291726319,19.0
1580348355292524420,19.0
1580348356295089289,19.0
1580348357292595976,19.0
1580348358294078024,19.0
1580348359293710715,19.0
1580348360293050721,19.0
1580348361293454659,19.0
1580348362293416605,19.0
1580348363293598066,19.0
1580348364294301155,19.0
1580348365294129682,19.0
1580348366293667716,19.0
1580348367293547672,19.0
1580348368293209146,19.0
1580348369291248594,19.0
1580348370295383035,19.0
1580348371294617136,19.0
1580348372313209983,19.0
1580348373292325347,19.0
1580348374292735452,19.0
1580348375291556098,19.0
1580348376290857641,19.0
1580348377291325110,19.0
1580348378292388544,19.0
1580348379294945687,19.0
1580348380316039297,19.0
1580348381292482313,19.0
1580348382292911806,19.0
1580348383292276760,19.0
1580348384292361792,19.0
1580348385293398027,19.0
1580348386293290254,19.0
1580348387292912108,19.0
1580348388294159168,19.0
1580348389293026805,19.0
1580348390292704192,19.0
1580348391293033234,19.0
1580348392293595685,19.0
1580348393290943252,19.0
1580348394301018885,19.0
1580348395289851644,19.0
1580348396289898450,19.0
1580348397286617053,19.0
1580348398286522908,19.0
1580348399305878750,19.0
1580348400288271977,19.0
1580348401316278286,19.0
1580348402287019177,19.0
1580348403288643224,19.0
1580348404295652670,19.0
1580348405287100296,19.0
1580348406293958148,19.0
1580348407289368666,19.0
1580348408288754111,19.0
1580348409287801547,19.0
1580348410288623932,19.0
1580348411294417242,19.0
1580348412289858268,19.0
1580348413289370056,19.0
1580348414289084843,19.0
1580348415290652388,19.0
1580348416286418438,19.0
1580348417286456581,19.0
1580348418286314476,19.0
1580348419285203834,19.0
1580348420284431602,19.0
1580348421285290697,19.0
1580348422285424252,19.0
1580348423305080206,19.0
1580348424296797353,19.0
1580348425285460174,19.0
1580348426284942094,19.0
1580348427286771903,19.0
1580348428285691285,19.0
1580348429293911883,19.0
1580348430289129653,19.0
1580348431292926555,19.0
1580348432286915076,19.0
1580348433291025446,19.0
1580348434288169451,19.0
1580348435305411764,19.0
1580348436287689609,19.0
1580348437287818179,19.0
1580348438289180898,19.0
1580348439289310767,19.0
1580348440287479801,19.0
1580348441287882862,19.0
1580348442289313475,19.0
1580348443287592807,19.0
1580348444287257484,19.0
1580348445288129169,19.0
1580348446288721220,19.0
1580348447286697697,19.0
1580348448289756772,19.0
1580348449288383193,19.0
1580348450304530308,19.0
1580348451286356607,19.0
1580348452303346015,19.0
1580348453286153947,19.0
1580348454304917297,19.0
1580348455287096843,19.0
1580348456285834145,19.0
1580348457287602267,19.0
1580348458285808314,19.0
1580348459286949950,19.0
1580348460287062255,19.0
1580348461286494545,19.0
1580348462286649827,19.0
1580348463288255403,19.0
1580348464292695920,19.0
1580348465288758942,19.0
1580348466295375006,19.0
1580348467295063454,19.0
1580348468292210602,19.0
1580348469293341636,19.0
1580348470291170945,19.0
1580348471292094584,19.0
1580348472294487363,19.0
1580348473309064039,19.0
1580348474286970782,19.0
1580348475285856532,19.0
1580348476286685573,19.0
1580348477289606537,19.0
1580348478287594346,19.0
1580348479290365298,19.0
1580348480289628254,19.0
1580348481290756241,19.0
1580348482290519109,19.0
1580348483290961008,19.0
1580348484297352118,19.0
1580348485308777658,19.0
1580348486290584495,19.0
1580348487289636886,19.0
1580348488287856192,19.0
1580348489295693089,19.0
1580348490286229204,19.0
1580348491287320519,19.0
1580348492287332455,19.0
1580348493288041669,19.0
1580348494288525314,19.0
1580348495288817572,19.0
1580348496287365586,19.0
1580348497291942621,19.0
1580348498292604101,19.0
1580348499291059648,19.0
1580348500310482407,19.0
1580348501291631457,19.0
1580348502288628852,19.0
1580348503312484134,19.0
1580348504285674609,19.0
1580348505286078203,19.0
1580348506286645896,19.0
1580348507285185235,19.0
1580348508287257755,19.0
1580348509285651370,19.0
1580348510287521668,19.0
1580348511286901877,19.0
1580348512287790012,19.0
1580348513287992874,19.0
1580348514289932721,19.0
1580348515295153953,19.0
1580348516292298764,19.0
1580348517293624125,19.0
1580348518292809858,19.0
1580348519294623091,19.0
1580348520294027823,19.0
1580348521293443116,19.0
1580348522293581068,19.0
1580348523292871324,19.0
1580348524311578278,19.0
1580348525293193690,19.0
1580348526294038081,19.0
1580348527293658805,19.0
1580348528291002349,19.0
1580348529298522549,19.0
1580348530296878324,19.0
1580348531295259821,19.0
1580348532296985831,19.0
1580348533297474803,19.0
1580348534297401141,19.0
1580348535297487757,19.0
1580348536315692954,19.0
1580348537295656278,19.0
1580348538296373523,19.0
1580348539289917752,19.0
1580348540289504046,19.0
1580348541297812230,19.0
1580348542296926894,19.0
1580348543296595547,19.0
1580348544297764476,19.0
1580348545298653316,19.0
1580348546287466625,19.0
1580348547299625329,19.0
1580348548297293714,19.0
1580348549296892748,19.0
1580348550297390809,19.0
1580348551305772600,19.0
1580348552297156156,19.0
1580348553313619866,19.0
1580348554293788034,19.0
1580348555293036228,19.0
1580348556286650719,19.0
1580348557293831418,19.0
1580348558285337724,19.0
1580348559292520819,19.0
1580348560292182051,19.0
1580348561291782376,19.0
1580348562292307659,19.0
1580348563283254783,19.0
1580348564294326190,19.0
1580348565295062740,19.0
1580348566293787792,19.0
1580348567294221841,19.0
1580348568294081689,19.0
1580348569293729561,19.0
1580348570294245014,19.0
1580348571294815283,19.0
1580348572293450061,19.0
1580348573293938055,19.0
1580348574290558519,19.0
1580348575309874627,19.0
1580348576296302406,19.0
1580348577293616346,19.0
1580348578294071958,19.0
1580348579294521364,19.0
1580348580287371613,19.0
1580348581291814763,19.0
1580348582295490152,19.0
1580348583292358865,19.0
1580348584302981003,19.0
1580348585300915517,19.0
1580348586292640344,19.0
1580348587286047658,19.0
1580348588287913132,19.0
1580348589309930529,19.0
1580348590290824434,19.0
1580348591298938705,19.0
1580348592299763871,19.0
1580348593298839108,19.0
1580348594295350017,19.0
1580348595298845278,19.0
1580348596295335392,19.0
1580348597294624744,19.0
1580348598300367674,19.0
1580348599296252388,19.0
1580348600290979664,19.0
1580348601315841130,19.0
1580348602298782705,19.0
1580348603297423472,19.0
1580348604316028769,19.0
1580348605287739677,19.0
1580348606289163651,19.0
1580348607296250260,19.0
1580348608294935650,19.0
1580348609296494023,19.0
1580348610310021946,19.0
1580348611291965866,19.0
1580348612291326633,19.0
1580348613299472595,19.0
1580348614299649316,19.0
1580348615299721205,19.0
1580348616299137003,19.0
1580348617301094076,19.0
