%time,field.header.seq,field.header.stamp,field.header.frame_id,field.longitude,field.latitude,field.altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1581012204946258251,1,1581012204944837093,,-71.0897733333,42.3376366667,16.7,327844.245881,4689379.72281,19,T
1581012205951792728,2,1581012205949985027,,-71.0897733333,42.3376366667,16.7,327844.245881,4689379.72281,19,T
1581012206946270061,3,1581012206945043087,,-71.0897733333,42.3376366667,16.8,327844.245881,4689379.72281,19,T
1581012207931024185,4,1581012207929732084,,-71.0897733333,42.3376366667,16.8,327844.245881,4689379.72281,19,T
1581012208946575845,5,1581012208945269107,,-71.0897733333,42.3376366667,16.8,327844.245881,4689379.72281,19,T
1581012209935155576,6,1581012209933779001,,-71.0897716667,42.3376366667,16.8,327844.383187,4689379.71943,19,T
1581012210944378255,7,1581012210943232059,,-71.0897716667,42.3376366667,16.8,327844.383187,4689379.71943,19,T
1581012211928203060,8,1581012211926848888,,-71.0897716667,42.3376366667,16.8,327844.383187,4689379.71943,19,T
1581012212933376413,9,1581012212932677984,,-71.0897716667,42.3376366667,16.8,327844.383187,4689379.71943,19,T
1581012213951928339,10,1581012213950583934,,-71.0897716667,42.3376366667,16.8,327844.383187,4689379.71943,19,T
1581012214933202631,11,1581012214932559013,,-71.0897716667,42.3376366667,16.8,327844.383187,4689379.71943,19,T
1581012215951803472,12,1581012215950659036,,-71.0897716667,42.3376366667,16.8,327844.383187,4689379.71943,19,T
1581012216927279864,13,1581012216926536083,,-71.0897716667,42.3376366667,16.8,327844.383187,4689379.71943,19,T
1581012217933873017,14,1581012217933034896,,-71.0897716667,42.3376366667,16.8,327844.383187,4689379.71943,19,T
1581012218933750800,15,1581012218932827949,,-71.0897716667,42.3376366667,16.8,327844.383187,4689379.71943,19,T
1581012219932760766,16,1581012219931940078,,-71.0897716667,42.3376366667,16.9,327844.383187,4689379.71943,19,T
1581012220928504507,17,1581012220927694082,,-71.0897716667,42.3376366667,16.9,327844.383187,4689379.71943,19,T
1581012221935712106,18,1581012221934861898,,-71.0897716667,42.3376366667,16.9,327844.383187,4689379.71943,19,T
1581012222930538666,19,1581012222929786920,,-71.0897716667,42.3376366667,16.9,327844.383187,4689379.71943,19,T
1581012223933203958,20,1581012223932424068,,-71.0897716667,42.3376366667,16.9,327844.383187,4689379.71943,19,T
1581012224933805892,21,1581012224933058977,,-71.0897716667,42.3376366667,16.9,327844.383187,4689379.71943,19,T
1581012225928373831,22,1581012225927386045,,-71.0897716667,42.3376366667,16.9,327844.383187,4689379.71943,19,T
1581012226932712206,23,1581012226931950092,,-71.0897716667,42.3376366667,16.9,327844.383187,4689379.71943,19,T
1581012227927418687,24,1581012227926696062,,-71.0897716667,42.3376366667,16.9,327844.383187,4689379.71943,19,T
