%time,field.header.seq,field.header.stamp,field.header.frame_id,field.longitude,field.latitude,field.altitude,field.utm_easting,field.utm_northing,field.Zone,field.letter
1581012840234638915,621,1581012840233985900,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012841253452807,622,1581012841252887964,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012842236175405,623,1581012842235416889,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012843254080578,624,1581012843253319025,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012844234663078,625,1581012844234056949,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012845234885792,626,1581012845234263896,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012846235674713,627,1581012846234776973,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012847237142757,628,1581012847236479997,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012848234731593,629,1581012848234168052,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012849235104887,630,1581012849234370946,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012850235916096,631,1581012850235228061,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012851235648993,632,1581012851234860897,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012852235012540,633,1581012852234239101,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012853235955479,634,1581012853235409021,,-71.0895966667,42.3374216667,14.5,327858.213636,4689355.49102,19,T
1581012854236575931,635,1581012854235816001,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012855236008805,636,1581012855235269069,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012856235553983,637,1581012856234671115,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012857252200263,638,1581012857251481056,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012858236246907,639,1581012858235475063,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012859236828396,640,1581012859235892057,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012860235469781,641,1581012860234822988,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012861239192590,642,1581012861238205909,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012862244713661,643,1581012862244030952,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012863248368031,644,1581012863247695922,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012864266324181,645,1581012864265341997,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012865259243518,646,1581012865258716106,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012866259132821,647,1581012866258384943,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012867266364913,648,1581012867265439987,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012868249203078,649,1581012868248318910,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012869248804008,650,1581012869248191118,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012870243747990,651,1581012870242888927,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012871269165960,652,1581012871267895936,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012872249155427,653,1581012872248334884,,-71.0895966667,42.3374216667,14.6,327858.213636,4689355.49102,19,T
1581012873248688992,654,1581012873247900962,,-71.0895966667,42.3374216667,14.7,327858.213636,4689355.49102,19,T
