%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581012215346377472,1,1581012215344382047,,-0.2307,-0.0955,0.4143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215367419947,2,1581012215365711927,,-0.2308,-0.0969,0.4175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215393535496,3,1581012215391647100,,-0.2306,-0.0927,0.4127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215418186620,4,1581012215416089057,,-0.2333,-0.0911,0.4125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215442562935,5,1581012215440589904,,-0.2321,-0.0926,0.4205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215467138556,6,1581012215465651035,,-0.2321,-0.094,0.4158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215492885543,7,1581012215490854978,,-0.232,-0.0926,0.4158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215517472464,8,1581012215515691995,,-0.232,-0.0912,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215543261840,9,1581012215540800094,,-0.2307,-0.0927,0.4175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215567921839,10,1581012215565692901,,-0.2279,-0.0914,0.4176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215592323817,11,1581012215590456962,,-0.2293,-0.0928,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215617116983,12,1581012215615669012,,-0.2294,-0.0942,0.4176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215641899974,13,1581012215640503883,,-0.2319,-0.0912,0.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215667276223,14,1581012215665635108,,-0.2292,-0.0899,0.4159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215692148830,15,1581012215690433979,,-0.2265,-0.0873,0.4145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215718546401,16,1581012215716552972,,-0.2292,-0.0857,0.4175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215743884286,17,1581012215740695953,,-0.2264,-0.083,0.4192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215767329769,18,1581012215765696048,,-0.2292,-0.0857,0.4206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215793000453,19,1581012215790652990,,-0.2306,-0.0899,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215817669277,20,1581012215815709114,,-0.2308,-0.0969,0.4175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215842122432,21,1581012215840532064,,-0.2279,-0.0872,0.4192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215867969310,22,1581012215865969896,,-0.2307,-0.0955,0.4143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215893987456,23,1581012215891561031,,-0.2295,-0.097,0.4208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215918535926,24,1581012215915981054,,-0.2294,-0.0942,0.4207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215942527615,25,1581012215940499067,,-0.2291,-0.0857,0.4127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215967830661,26,1581012215965883970,,-0.2267,-0.0972,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012215993330164,27,1581012215991449117,,-0.2267,-0.0957,0.4162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216017493359,28,1581012216015897989,,-0.2294,-0.0956,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216042623149,29,1581012216040780067,,-0.2292,-0.0885,0.4175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216067789116,30,1581012216065929889,,-0.2307,-0.0955,0.4143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216092425802,31,1581012216090693950,,-0.2305,-0.0856,0.4142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216118205915,32,1581012216116555929,,-0.2307,-0.0927,0.4143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216142631018,33,1581012216140754938,,-0.228,-0.0943,0.4161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216168141047,34,1581012216165884971,,-0.2306,-0.0913,0.4159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216192877674,35,1581012216190821886,,-0.2279,-0.0886,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216217851109,36,1581012216215750932,,-0.2293,-0.0928,0.4128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216243290422,37,1581012216240763902,,-0.2307,-0.0927,0.4191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216267905657,38,1581012216265822887,,-0.2307,-0.0927,0.4222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216293183578,39,1581012216290765047,,-0.2294,-0.0956,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216318184064,40,1581012216315751075,,-0.2307,-0.0941,0.4111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216343970939,41,1581012216341732025,,-0.2253,-0.0944,0.4194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216367762984,42,1581012216365820884,,-0.2291,-0.0843,0.4143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216392485935,43,1581012216390702009,,-0.228,-0.0942,0.4192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216417730542,44,1581012216415848970,,-0.2291,-0.0886,0.4064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216442454618,45,1581012216440606117,,-0.2292,-0.0885,0.4143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216467643411,46,1581012216465718984,,-0.2294,-0.097,0.4144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216493426736,47,1581012216490789890,,-0.2306,-0.0899,0.4127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216517818039,48,1581012216515724897,,-0.2321,-0.0955,0.4126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216542275906,49,1581012216540553092,,-0.232,-0.0869,0.4237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216568449632,50,1581012216565836906,,-0.2321,-0.0969,0.4142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216592343055,51,1581012216590693950,,-0.2279,-0.0929,0.4129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216617479021,52,1581012216615583896,,-0.228,-0.0914,0.4192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216643119279,53,1581012216640759944,,-0.2293,-0.0928,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216667530682,54,1581012216665702104,,-0.2292,-0.0885,0.4143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216692114879,55,1581012216690522909,,-0.232,-0.094,0.4142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216717517278,56,1581012216715732097,,-0.2307,-0.0955,0.4127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216742940166,57,1581012216740605115,,-0.2293,-0.0899,0.4175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216767857399,58,1581012216765748977,,-0.2306,-0.0884,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216792847585,59,1581012216790661096,,-0.2292,-0.0885,0.4159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216817809332,60,1581012216815541982,,-0.232,-0.0912,0.4174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216842498857,61,1581012216840734004,,-0.2266,-0.0887,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216867300212,62,1581012216865520000,,-0.2305,-0.0871,0.4126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216893298844,63,1581012216891529083,,-0.232,-0.0912,0.4205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216918280492,64,1581012216916027069,,-0.2308,-0.0941,0.4207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216951097510,65,1581012216940435886,,-0.2294,-0.0984,0.4113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012216967653242,66,1581012216965898990,,-0.232,-0.0926,0.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
