%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581012839876739362,24366,1581012839873430013,,0.2037,-0.0174,0.4685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012839899486158,24367,1581012839897701978,,0.2061,-0.0163,0.4714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012839924591773,24368,1581012839922888040,,0.2052,-0.0063,0.4684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012839949299212,24369,1581012839947659969,,0.2038,-0.0162,0.4656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012839975312433,24370,1581012839972935914,,0.2049,-0.015,0.4713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012839999266833,24371,1581012839997715950,,0.2049,-0.0163,0.4685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012840025538413,24372,1581012840022948026,,0.2038,-0.0162,0.4628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012840050431182,24373,1581012840047970056,,0.2026,-0.0161,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012840074912776,24374,1581012840072921991,,0.2051,-0.0113,0.4671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012840100057892,24375,1581012840097687005,,0.2025,-0.0174,0.4712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581012840124989038,24376,1581012840122790098,,0.2037,-0.0187,0.4685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
