Time Stamp,String
1581012214354712963,"$VNYMR,-136.585,+000.926,-000.508,-00.2307,-00.0955,+00.4159,+00.160,+00.084,-09.713,-00.000904,-00.000803,-00.042821*68
"
1581012214362040996,"$VNYMR,-136.618,+000.925,-000.510,-00.2320,-00.0898,+00.4173,+00.161,+00.099,-09.683,+00.000453,-00.000428,-00.042883*69
"
1581012214368743896,"$VNYMR,-136.651,+000.924,-000.511,-00.2333,-00.0897,+00.4204,+00.183,+00.082,-09.750,-00.000657,-00.000399,-00.043529*62
"
1581012214374954938,"$VNYMR,-136.683,+000.926,-000.511,-00.2332,-00.0855,+00.4188,+00.166,+00.080,-09.745,+00.001946,+00.000269,-00.042032*64
"
1581012214381006956,"$VNYMR,-136.716,+000.926,-000.511,-00.2321,-00.0926,+00.4205,+00.162,+00.085,-09.734,+00.001123,+00.000311,-00.043646*6E
"
1581012214387336015,"$VNYMR,-136.748,+000.927,-000.511,-00.2320,-00.0912,+00.4189,+00.173,+00.076,-09.702,+00.001093,-00.001048,-00.041395*67
"
1581012214393541097,"$VNYMR,-136.781,+000.926,-000.511,-00.2321,-00.0969,+00.4127,+00.182,+00.090,-09.701,+00.000174,+00.000392,-00.042455*6D
"
1581012214399620056,"$VNYMR,-136.814,+000.926,-000.512,-00.2308,-00.0969,+00.4143,+00.172,+00.084,-09.711,-00.000441,-00.001136,-00.043350*62
"
1581012214405670881,"$VNYMR,-136.848,+000.924,-000.513,-00.2334,-00.0968,+00.4126,+00.152,+00.090,-09.704,+00.000817,+00.000245,-00.042335*6D
"
1581012214411730051,"$VNYMR,-136.880,+000.925,-000.513,-00.2320,-00.0940,+00.4126,+00.166,+00.081,-09.719,+00.000110,+00.000792,-00.042699*6E
"
1581012214418170928,"$VNYMR,-136.913,+000.926,-000.512,-00.2307,-00.0927,+00.4191,+00.176,+00.096,-09.703,+00.002562,+00.000230,-00.042297*67
"
1581012214424184083,"$VNYMR,-136.944,+000.925,-000.511,-00.2335,-00.0939,+00.4205,+00.178,+00.098,-09.689,+00.002374,+00.000381,-00.040869*65
"
1581012214434061050,"$VNYMR,-136.977,+000.925,-000.511,-00.2361,-00.0952,+00.4155,+00.158,+00.104,-09.714,+00.000178,-00.000668,-00.042695*6B
"
1581012214440562963,"$VNYMR,-137.009,+000.925,-000.513,-00.2320,-00.0940,+00.4142,+00.162,+00.089,-09.696,+00.000306,+00.000817,-00.040679*65
"
1581012214465609073,"$VNYMR,-137.041,+000.923,-000.514,-00.2294,-00.0942,+00.4176,+00.159,+00.065,-09.730,+00.000555,-00.000651,-00.041223*64
"
1581012214490591049,"$VNYMR,-137.075,+000.924,-000.512,-00.2320,-00.0926,+00.4174,+00.184,+00.061,-09.667,+00.000037,+00.000769,-00.043679*6F
"
1581012214515980958,"$VNYMR,-137.106,+000.926,-000.511,-00.2305,-00.0870,+00.4174,+00.147,+00.084,-09.685,+00.000229,+00.000008,-00.043030*60
"
1581012214545949935,"$VNYMR,-137.138,+000.924,-000.510,-00.2332,-00.0841,+00.4188,+00.183,+00.066,-09.742,+00.001097,-00.001569,-00.042168*6B
"
1581012214565768957,"$VNYMR,-137.170,+000.924,-000.509,-00.2319,-00.0884,+00.4110,+00.194,+00.091,-09.685,+00.000009,-00.001037,-00.041075*6C
"
1581012214590439081,"$VNYMR,-137.202,+000.925,-000.508,-00.2320,-00.0912,+00.4142,+00.154,+00.065,-09.690,+00.000136,+00.000570,-00.040855*6D
"
1581012214616156101,"$VNYMR,-137.233,+000.925,-000.508,-00.2336,-00.0996,+00.4158,+00.154,+00.100,-09.713,+00.000337,+00.000831,-00.042273*60
"
1581012214640583992,"$VNYMR,-137.265,+000.925,-000.508,-00.2306,-00.0899,+00.4127,+00.155,+00.055,-09.702,-00.000507,+00.001263,-00.041666*6A
"
1581012214665734052,"$VNYMR,-137.297,+000.923,-000.506,-00.2307,-00.0955,+00.4127,+00.173,+00.069,-09.717,+00.000858,-00.001835,-00.041803*63
"
1581012214690733909,"$VNYMR,-137.329,+000.925,-000.505,-00.2348,-00.0939,+00.4172,+00.152,+00.086,-09.694,-00.000104,-00.000499,-00.042190*66
"
1581012214715562105,"$VNYMR,-137.361,+000.925,-000.506,-00.2348,-00.0953,+00.4188,+00.181,+00.084,-09.722,+00.000814,+00.000221,-00.041615*64
"
1581012214741156101,"$VNYMR,-137.392,+000.925,-000.505,-00.2321,-00.0926,+00.4190,+00.167,+00.108,-09.712,+00.000852,+00.000777,-00.042164*67
"
1581012214766427993,"$VNYMR,-137.424,+000.926,-000.505,-00.2321,-00.0954,+00.4190,+00.175,+00.086,-09.687,+00.000779,-00.000647,-00.042081*6A
"
1581012214790560007,"$VNYMR,-137.456,+000.926,-000.503,-00.2320,-00.0912,+00.4189,+00.162,+00.063,-09.710,+00.002204,+00.000459,-00.042294*60
"
1581012214815473079,"$VNYMR,-137.488,+000.927,-000.501,-00.2335,-00.0954,+00.4205,+00.162,+00.074,-09.711,+00.002133,+00.000641,-00.042317*60
"
1581012214840496063,"$VNYMR,-137.520,+000.926,-000.501,-00.2307,-00.0941,+00.4191,+00.147,+00.098,-09.704,+00.000194,-00.000307,-00.041078*6F
"
1581012214865674018,"$VNYMR,-137.553,+000.925,-000.503,-00.2293,-00.0928,+00.4160,+00.166,+00.087,-09.687,-00.000704,-00.001192,-00.042203*6B
"
1581012214890657901,"$VNYMR,-137.585,+000.926,-000.501,-00.2321,-00.0955,+00.4126,+00.160,+00.079,-09.699,+00.001949,+00.001190,-00.041647*6A
"
1581012214915934085,"$VNYMR,-137.618,+000.927,-000.501,-00.2305,-00.0871,+00.4126,+00.146,+00.083,-09.701,-00.000310,-00.000343,-00.042924*6F
"
1581012214940570116,"$VNYMR,-137.651,+000.927,-000.501,-00.2293,-00.0899,+00.4175,+00.155,+00.113,-09.718,-00.000175,+00.000152,-00.043105*61
"
1581012214966515064,"$VNYMR,-137.684,+000.926,-000.503,-00.2320,-00.0926,+00.4158,+00.158,+00.071,-09.680,+00.000789,-00.000584,-00.042093*64
"
1581012214990875005,"$VNYMR,-137.716,+000.929,-000.502,-00.2306,-00.0899,+00.4158,+00.153,+00.074,-09.739,+00.000427,+00.000226,-00.043242*6D
"
1581012215015958070,"$VNYMR,-137.748,+000.929,-000.501,-00.2333,-00.0897,+00.4141,+00.172,+00.102,-09.735,-00.000091,+00.000483,-00.041052*6D
"
1581012215040786981,"$VNYMR,-137.781,+000.929,-000.500,-00.2318,-00.0827,+00.4188,+00.198,+00.082,-09.695,+00.000532,+00.000310,-00.041289*6B
"
1581012215065895080,"$VNYMR,-137.814,+000.929,-000.501,-00.2306,-00.0913,+00.4111,+00.148,+00.086,-09.709,+00.001470,+00.000686,-00.041782*6F
"
1581012215090719938,"$VNYMR,-137.846,+000.928,-000.500,-00.2307,-00.0927,+00.4191,+00.158,+00.107,-09.683,+00.002158,+00.000987,-00.042427*61
"
1581012215115823030,"$VNYMR,-137.879,+000.928,-000.501,-00.2349,-00.0995,+00.4189,+00.145,+00.098,-09.714,+00.000705,+00.001178,-00.043595*6E
"
1581012215140820980,"$VNYMR,-137.911,+000.929,-000.500,-00.2333,-00.0926,+00.4125,+00.171,+00.072,-09.664,+00.000650,-00.001026,-00.040493*6E
"
1581012215165851116,"$VNYMR,-137.942,+000.928,-000.499,-00.2334,-00.0925,+00.4141,+00.173,+00.085,-09.741,+00.000271,-00.002635,-00.041483*62
"
1581012215190742969,"$VNYMR,-137.974,+000.926,-000.499,-00.2308,-00.0969,+00.4159,+00.161,+00.071,-09.741,-00.000014,-00.000329,-00.041282*65
"
1581012215215719938,"$VNYMR,-138.007,+000.927,-000.499,-00.2305,-00.0885,+00.4126,+00.155,+00.094,-09.705,+00.000814,-00.000458,-00.042238*61
"
1581012215241818904,"$VNYMR,-138.040,+000.927,-000.498,-00.2360,-00.0910,+00.4139,+00.163,+00.075,-09.716,-00.000525,-00.000171,-00.044005*66
"
1581012215265774965,"$VNYMR,-138.073,+000.925,-000.499,-00.2321,-00.0940,+00.4174,+00.158,+00.064,-09.702,-00.000472,+00.000031,-00.041651*63
"
1581012215290728092,"$VNYMR,-138.106,+000.926,-000.500,-00.2333,-00.0926,+00.4093,+00.164,+00.102,-09.733,+00.000371,-00.000324,-00.042686*6F
"
1581012215315826892,"$VNYMR,-138.140,+000.926,-000.501,-00.2334,-00.0925,+00.4173,+00.166,+00.092,-09.699,-00.000541,-00.000011,-00.043550*63
"
1581012215344382047,"$VNYMR,-138.174,+000.927,-000.502,-00.2307,-00.0955,+00.4143,+00.168,+00.098,-09.726,+00.000556,-00.001309,-00.043186*67
"
1581012215365711927,"$VNYMR,-138.208,+000.926,-000.504,-00.2308,-00.0969,+00.4175,+00.163,+00.122,-09.712,-00.000454,-00.001386,-00.042703*69
"
1581012215391647100,"$VNYMR,-138.241,+000.927,-000.504,-00.2306,-00.0927,+00.4127,+00.160,+00.087,-09.749,+00.001055,+00.001483,-00.042197*68
"
1581012215416089057,"$VNYMR,-138.275,+000.930,-000.505,-00.2333,-00.0911,+00.4125,+00.159,+00.086,-09.731,+00.000825,+00.001282,-00.043560*69
"
1581012215440589904,"$VNYMR,-138.310,+000.934,-000.505,-00.2321,-00.0926,+00.4205,+00.177,+00.078,-09.706,+00.000396,+00.004529,-00.043725*63
"
1581012215465651035,"$VNYMR,-138.345,+000.939,-000.503,-00.2321,-00.0940,+00.4158,+00.166,+00.089,-09.694,+00.002875,+00.003302,-00.043095*67
"
1581012215490854978,"$VNYMR,-138.380,+000.946,-000.502,-00.2320,-00.0926,+00.4158,+00.171,+00.057,-09.765,+00.000573,+00.005184,-00.045651*67
"
1581012215515691995,"$VNYMR,-138.419,+000.961,-000.501,-00.2320,-00.0912,+00.4174,+00.173,+00.165,-09.796,+00.001637,+00.013681,-00.046619*69
"
1581012215540800094,"$VNYMR,-138.457,+000.978,-000.501,-00.2307,-00.0927,+00.4175,+00.180,+00.094,-09.653,+00.001914,+00.011675,-00.044912*63
"
1581012215565692901,"$VNYMR,-138.495,+000.993,-000.499,-00.2279,-00.0914,+00.4176,+00.176,+00.103,-09.676,+00.004264,+00.011858,-00.046180*6B
"
1581012215590456962,"$VNYMR,-138.534,+001.006,-000.491,-00.2293,-00.0928,+00.4160,+00.210,-00.028,-09.647,+00.009375,+00.009693,-00.049253*60
"
1581012215615669012,"$VNYMR,-138.581,+001.020,-000.480,-00.2294,-00.0942,+00.4176,+00.137,-00.063,-09.790,+00.007176,+00.010046,-00.056344*64
"
1581012215640503883,"$VNYMR,-138.625,+001.033,-000.470,-00.2319,-00.0912,+00.4110,+00.192,+00.203,-09.749,+00.010185,+00.009063,-00.048335*60
"
1581012215665635108,"$VNYMR,-138.662,+001.046,-000.456,-00.2292,-00.0899,+00.4159,+00.213,+00.085,-09.646,+00.010110,+00.007488,-00.042836*61
"
1581012215690433979,"$VNYMR,-138.696,+001.054,-000.447,-00.2265,-00.0873,+00.4145,+00.207,+00.095,-09.643,+00.006125,+00.003521,-00.041590*6C
"
1581012215716552972,"$VNYMR,-138.729,+001.057,-000.442,-00.2292,-00.0857,+00.4175,+00.195,+00.059,-09.671,+00.002549,+00.001617,-00.040934*66
"
1581012215740695953,"$VNYMR,-138.762,+001.059,-000.439,-00.2264,-00.0830,+00.4192,+00.219,+00.095,-09.683,+00.003869,+00.000876,-00.043582*64
"
1581012215765696048,"$VNYMR,-138.795,+001.059,-000.438,-00.2292,-00.0857,+00.4206,+00.190,+00.066,-09.692,+00.001734,+00.000798,-00.043395*6F
"
1581012215790652990,"$VNYMR,-138.827,+001.059,-000.438,-00.2306,-00.0899,+00.4190,+00.174,+00.080,-09.711,+00.000133,-00.000050,-00.042338*60
"
1581012215815709114,"$VNYMR,-138.860,+001.060,-000.437,-00.2308,-00.0969,+00.4175,+00.178,+00.060,-09.686,+00.001380,-00.000214,-00.042243*64
"
1581012215840532064,"$VNYMR,-138.893,+001.061,-000.437,-00.2279,-00.0872,+00.4192,+00.197,+00.067,-09.694,+00.000894,+00.001221,-00.042885*67
"
1581012215865969896,"$VNYMR,-138.925,+001.061,-000.437,-00.2307,-00.0955,+00.4143,+00.187,+00.086,-09.692,+00.000486,-00.000332,-00.042013*6F
"
1581012215891561031,"$VNYMR,-138.958,+001.063,-000.437,-00.2295,-00.0970,+00.4208,+00.180,+00.075,-09.719,+00.000465,-00.000112,-00.041310*61
"
1581012215915981054,"$VNYMR,-138.990,+001.062,-000.437,-00.2294,-00.0942,+00.4207,+00.194,+00.037,-09.696,+00.001087,-00.000603,-00.041924*6D
"
1581012215940499067,"$VNYMR,-139.022,+001.063,-000.437,-00.2291,-00.0857,+00.4127,+00.194,+00.089,-09.733,+00.001050,+00.000682,-00.041146*6E
"
1581012215965883970,"$VNYMR,-139.055,+001.062,-000.437,-00.2267,-00.0972,+00.4130,+00.198,+00.073,-09.703,+00.002232,-00.000950,-00.040937*60
"
1581012215991449117,"$VNYMR,-139.088,+001.061,-000.437,-00.2267,-00.0957,+00.4162,+00.190,+00.094,-09.709,+00.001728,+00.000359,-00.041125*6A
"
1581012216015897989,"$VNYMR,-139.120,+001.061,-000.437,-00.2294,-00.0956,+00.4160,+00.179,+00.092,-09.688,+00.000762,+00.001271,-00.042456*68
"
1581012216040780067,"$VNYMR,-139.152,+001.061,-000.438,-00.2292,-00.0885,+00.4175,+00.193,+00.111,-09.710,-00.001479,-00.000193,-00.041004*67
"
1581012216065929889,"$VNYMR,-139.184,+001.059,-000.441,-00.2307,-00.0955,+00.4143,+00.207,+00.086,-09.723,-00.001169,-00.001169,-00.042966*62
"
