%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581281143403651837,1,1581281143402796745,magnetic_field,-0.176,-0.0287,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143423952802,2,1581281143422953128,magnetic_field,-0.1753,-0.0284,0.3438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143448758088,3,1581281143448041200,magnetic_field,-0.176,-0.0265,0.3445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143473676005,4,1581281143472946643,magnetic_field,-0.1764,-0.0294,0.3441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143498884001,5,1581281143497984170,magnetic_field,-0.175,-0.0284,0.3438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143524368588,6,1581281143523671865,magnetic_field,-0.176,-0.0287,0.3441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143548691061,7,1581281143547948122,magnetic_field,-0.1753,-0.0276,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143574534001,8,1581281143573647260,magnetic_field,-0.175,-0.0288,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143599753437,9,1581281143597810506,magnetic_field,-0.1753,-0.0295,0.3425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143625605225,10,1581281143623556375,magnetic_field,-0.1749,-0.0269,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143649229801,11,1581281143648482322,magnetic_field,-0.1753,-0.0265,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143674364616,12,1581281143673562288,magnetic_field,-0.176,-0.028,0.3437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143700312873,13,1581281143698499917,magnetic_field,-0.1753,-0.028,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143724316155,14,1581281143723489046,magnetic_field,-0.1753,-0.028,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281143749097863,15,1581281143748399972,magnetic_field,-0.1752,-0.0254,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
